S,connected,1,T,probability
0,False,1.0,0,0.15
0,False,,0,0.32
0,False,,1,0.35
0,False,,2,0.03
1,False,0.0,1,0.08
1,False,1.0,0,0.06
1,False,,0,0.14
1,False,,1,0.15
1,False,,2,0.01
