S,7,T,prob,Connected,6,5,1
0,0.0,0,0.78,False,,,
1,0.0,0,0.78,False,,,
0,1.0,0,0.22,True,,,
1,1.0,0,0.22,True,,,
0,0.0,1,0.78,False,,,
1,0.0,1,0.78,False,,,
0,1.0,1,0.22,True,,,
1,1.0,1,0.22,True,,,
0,,0,0.63,False,0.0,,
1,,0,0.63,False,0.0,,
0,,0,0.37,False,1.0,,
1,,0,0.37,True,1.0,,
0,,1,0.63,False,0.0,,
1,,1,0.63,False,0.0,,
0,,1,0.37,False,1.0,,
1,,1,0.37,True,1.0,,
0,,0,0.56,False,,0.0,
1,,0,0.56,False,,0.0,
0,,0,0.44,True,,1.0,
1,,0,0.44,False,,1.0,
0,,1,0.56,True,,0.0,
1,,1,0.56,False,,0.0,
0,,1,0.44,True,,1.0,
1,,1,0.44,False,,1.0,
0,,0,0.67,False,,,0.0
1,,0,0.67,False,,,0.0
0,,0,0.33,False,,,1.0
1,,0,0.33,False,,,1.0
0,,1,0.67,False,,,0.0
1,,1,0.67,False,,,0.0
0,,1,0.33,False,,,1.0
1,,1,0.33,True,,,1.0
