S,8,T,prob,Connected,5,2
0,0.0,0,0.58,True,,
1,0.0,0,0.58,True,,
0,1.0,0,0.42,False,,
1,1.0,0,0.42,False,,
0,0.0,1,0.58,True,,
1,0.0,1,0.58,True,,
0,1.0,1,0.42,True,,
1,1.0,1,0.42,True,,
0,,0,0.71,False,0.0,
1,,0,0.71,False,0.0,
0,,0,0.29,False,1.0,
1,,0,0.29,False,1.0,
0,,1,0.71,False,0.0,
1,,1,0.71,False,0.0,
0,,1,0.29,False,1.0,
1,,1,0.29,False,1.0,
0,,0,0.55,True,,0.0
1,,0,0.55,False,,0.0
0,,0,0.45,False,,1.0
1,,0,0.45,True,,1.0
0,,1,0.55,True,,0.0
1,,1,0.55,False,,0.0
0,,1,0.45,False,,1.0
1,,1,0.45,True,,1.0
