V,Loc_max,Conn_Level,Connectivity,Running Time,,,
100,3,2,1,1.147382975,,,
100,3,2,0.999999983,1.032237053,,Connectivity,Running Time (sec)
100,3,2,1,1.258022785,,1,68.4
100,3,2,0.999965737,1.35782814,,,
100,3,2,0.99999856,0.91797709,,,
