S,2,T,prob,Connected,6,7,1,5
0,0.0,0,0.75,True,,,,
1,0.0,0,0.75,True,,,,
0,1.0,0,0.25,False,,,,
1,1.0,0,0.25,False,,,,
0,0.0,1,0.75,True,,,,
1,0.0,1,0.75,True,,,,
0,1.0,1,0.25,False,,,,
1,1.0,1,0.25,False,,,,
0,,0,0.48999999999999994,False,0.0,0.0,,
1,,0,0.48999999999999994,True,0.0,0.0,,
0,,0,0.21,False,1.0,0.0,,
1,,0,0.21,False,1.0,0.0,,
0,,0,0.21,False,0.0,1.0,,
1,,0,0.21,False,0.0,1.0,,
0,,0,0.09,False,1.0,1.0,,
1,,0,0.09,False,1.0,1.0,,
0,,1,0.48999999999999994,False,0.0,0.0,,
1,,1,0.48999999999999994,False,0.0,0.0,,
0,,1,0.21,False,1.0,0.0,,
1,,1,0.21,False,1.0,0.0,,
0,,1,0.21,False,0.0,1.0,,
1,,1,0.21,False,0.0,1.0,,
0,,1,0.09,False,1.0,1.0,,
1,,1,0.09,False,1.0,1.0,,
0,,0,0.4026,False,,,0.0,0.0
1,,0,0.4026,False,,,0.0,0.0
0,,0,0.2074,False,,,1.0,0.0
1,,0,0.2074,False,,,1.0,0.0
0,,0,0.2574,False,,,0.0,1.0
1,,0,0.2574,False,,,0.0,1.0
0,,0,0.13260000000000002,False,,,1.0,1.0
1,,0,0.13260000000000002,False,,,1.0,1.0
0,,1,0.4026,True,,,0.0,0.0
1,,1,0.4026,False,,,0.0,0.0
0,,1,0.2074,False,,,1.0,0.0
1,,1,0.2074,False,,,1.0,0.0
0,,1,0.2574,True,,,0.0,1.0
1,,1,0.2574,False,,,0.0,1.0
0,,1,0.13260000000000002,True,,,1.0,1.0
1,,1,0.13260000000000002,True,,,1.0,1.0
