S,9,T,prob,Connected,1,3,8,2,6
0,0.0,0,0.66,False,,,,,
1,0.0,0,0.66,True,,,,,
0,1.0,0,0.34,True,,,,,
1,1.0,0,0.34,True,,,,,
0,0.0,1,0.66,False,,,,,
1,0.0,1,0.66,False,,,,,
0,1.0,1,0.34,True,,,,,
1,1.0,1,0.34,True,,,,,
0,,0,0.62,False,0.0,,,,
1,,0,0.62,False,0.0,,,,
0,,0,0.38,True,1.0,,,,
1,,0,0.38,True,1.0,,,,
0,,1,0.62,False,0.0,,,,
1,,1,0.62,False,0.0,,,,
0,,1,0.38,True,1.0,,,,
1,,1,0.38,True,1.0,,,,
0,,0,0.42089999999999994,True,,0.0,0.0,,
1,,0,0.42089999999999994,False,,0.0,0.0,,
0,,0,0.1891,True,,1.0,0.0,,
1,,0,0.1891,False,,1.0,0.0,,
0,,0,0.2691,False,,0.0,1.0,,
1,,0,0.2691,False,,0.0,1.0,,
0,,0,0.12090000000000001,False,,1.0,1.0,,
1,,0,0.12090000000000001,False,,1.0,1.0,,
0,,1,0.42089999999999994,False,,0.0,0.0,,
1,,1,0.42089999999999994,False,,0.0,0.0,,
0,,1,0.1891,False,,1.0,0.0,,
1,,1,0.1891,False,,1.0,0.0,,
0,,1,0.2691,True,,0.0,1.0,,
1,,1,0.2691,False,,0.0,1.0,,
0,,1,0.12090000000000001,True,,1.0,1.0,,
1,,1,0.12090000000000001,False,,1.0,1.0,,
0,,0,0.528,False,,,,0.0,0.0
1,,0,0.528,False,,,,0.0,0.0
0,,0,0.272,False,,,,1.0,0.0
1,,0,0.272,False,,,,1.0,0.0
0,,0,0.132,True,,,,0.0,1.0
1,,0,0.132,True,,,,0.0,1.0
0,,0,0.068,True,,,,1.0,1.0
1,,0,0.068,False,,,,1.0,1.0
0,,1,0.528,False,,,,0.0,0.0
1,,1,0.528,False,,,,0.0,0.0
0,,1,0.272,False,,,,1.0,0.0
1,,1,0.272,False,,,,1.0,0.0
0,,1,0.132,False,,,,0.0,1.0
1,,1,0.132,False,,,,0.0,1.0
0,,1,0.068,False,,,,1.0,1.0
1,,1,0.068,False,,,,1.0,1.0
