S,6,T,prob,Connected,5,4,7,8,1,3
0,0.0,0,0.59,False,,,,,,
1,0.0,0,0.59,False,,,,,,
0,1.0,0,0.41,False,,,,,,
1,1.0,0,0.41,False,,,,,,
0,0.0,1,0.59,False,,,,,,
1,0.0,1,0.59,False,,,,,,
0,1.0,1,0.41,False,,,,,,
1,1.0,1,0.41,True,,,,,,
0,,0,0.74,True,0.0,,,,,
1,,0,0.74,True,0.0,,,,,
0,,0,0.26,True,1.0,,,,,
1,,0,0.26,True,1.0,,,,,
0,,1,0.74,True,0.0,,,,,
1,,1,0.74,True,0.0,,,,,
0,,1,0.26,True,1.0,,,,,
1,,1,0.26,True,1.0,,,,,
0,,0,0.61,False,,0.0,,,,
1,,0,0.61,True,,0.0,,,,
0,,0,0.39,True,,1.0,,,,
1,,0,0.39,False,,1.0,,,,
0,,1,0.61,False,,0.0,,,,
1,,1,0.61,False,,0.0,,,,
0,,1,0.39,False,,1.0,,,,
1,,1,0.39,False,,1.0,,,,
0,,0,0.42400000000000004,False,,,0.0,0.0,,
1,,0,0.42400000000000004,False,,,0.0,0.0,,
0,,0,0.376,False,,,1.0,0.0,,
1,,0,0.376,False,,,1.0,0.0,,
0,,0,0.10600000000000001,True,,,0.0,1.0,,
1,,0,0.10600000000000001,True,,,0.0,1.0,,
0,,0,0.094,True,,,1.0,1.0,,
1,,0,0.094,False,,,1.0,1.0,,
0,,1,0.42400000000000004,True,,,0.0,0.0,,
1,,1,0.42400000000000004,True,,,0.0,0.0,,
0,,1,0.376,False,,,1.0,0.0,,
1,,1,0.376,False,,,1.0,0.0,,
0,,1,0.10600000000000001,False,,,0.0,1.0,,
1,,1,0.10600000000000001,False,,,0.0,1.0,,
0,,1,0.094,False,,,1.0,1.0,,
1,,1,0.094,False,,,1.0,1.0,,
0,,0,0.312,False,,,,,0.0,0.0
1,,0,0.312,False,,,,,0.0,0.0
0,,0,0.288,False,,,,,1.0,0.0
1,,0,0.288,False,,,,,1.0,0.0
0,,0,0.20800000000000002,True,,,,,0.0,1.0
1,,0,0.20800000000000002,True,,,,,0.0,1.0
0,,0,0.192,False,,,,,1.0,1.0
1,,0,0.192,False,,,,,1.0,1.0
0,,1,0.312,False,,,,,0.0,0.0
1,,1,0.312,False,,,,,0.0,0.0
0,,1,0.288,False,,,,,1.0,0.0
1,,1,0.288,False,,,,,1.0,0.0
0,,1,0.20800000000000002,True,,,,,0.0,1.0
1,,1,0.20800000000000002,True,,,,,0.0,1.0
0,,1,0.192,False,,,,,1.0,1.0
1,,1,0.192,False,,,,,1.0,1.0
