S,2,4,T,prob,Connected,1,3
0,0.0,0.0,0,0.032,False,,
1,0.0,0.0,0,0.032,False,,
2,0.0,0.0,0,0.032,False,,
3,0.0,0.0,0,0.032,False,,
4,0.0,0.0,0,0.032,False,,
0,1.0,0.0,0,0.022400000000000003,False,,
1,1.0,0.0,0,0.022400000000000003,False,,
2,1.0,0.0,0,0.022400000000000003,False,,
3,1.0,0.0,0,0.022400000000000003,False,,
4,1.0,0.0,0,0.022400000000000003,False,,
0,2.0,0.0,0,0.0288,False,,
1,2.0,0.0,0,0.0288,False,,
2,2.0,0.0,0,0.0288,False,,
3,2.0,0.0,0,0.0288,False,,
4,2.0,0.0,0,0.0288,False,,
0,3.0,0.0,0,0.020800000000000003,False,,
1,3.0,0.0,0,0.020800000000000003,False,,
2,3.0,0.0,0,0.020800000000000003,False,,
3,3.0,0.0,0,0.020800000000000003,False,,
4,3.0,0.0,0,0.020800000000000003,False,,
0,4.0,0.0,0,0.055999999999999994,False,,
1,4.0,0.0,0,0.055999999999999994,False,,
2,4.0,0.0,0,0.055999999999999994,False,,
3,4.0,0.0,0,0.055999999999999994,False,,
4,4.0,0.0,0,0.055999999999999994,False,,
0,0.0,1.0,0,0.020000000000000004,False,,
1,0.0,1.0,0,0.020000000000000004,True,,
2,0.0,1.0,0,0.020000000000000004,True,,
3,0.0,1.0,0,0.020000000000000004,True,,
4,0.0,1.0,0,0.020000000000000004,True,,
0,1.0,1.0,0,0.014000000000000002,False,,
1,1.0,1.0,0,0.014000000000000002,False,,
2,1.0,1.0,0,0.014000000000000002,False,,
3,1.0,1.0,0,0.014000000000000002,False,,
4,1.0,1.0,0,0.014000000000000002,False,,
0,2.0,1.0,0,0.018,False,,
1,2.0,1.0,0,0.018,False,,
2,2.0,1.0,0,0.018,False,,
3,2.0,1.0,0,0.018,False,,
4,2.0,1.0,0,0.018,False,,
0,3.0,1.0,0,0.013000000000000001,False,,
1,3.0,1.0,0,0.013000000000000001,True,,
2,3.0,1.0,0,0.013000000000000001,True,,
3,3.0,1.0,0,0.013000000000000001,True,,
4,3.0,1.0,0,0.013000000000000001,False,,
0,4.0,1.0,0,0.034999999999999996,False,,
1,4.0,1.0,0,0.034999999999999996,True,,
2,4.0,1.0,0,0.034999999999999996,False,,
3,4.0,1.0,0,0.034999999999999996,False,,
4,4.0,1.0,0,0.034999999999999996,False,,
0,0.0,2.0,0,0.026000000000000002,False,,
1,0.0,2.0,0,0.026000000000000002,True,,
2,0.0,2.0,0,0.026000000000000002,True,,
3,0.0,2.0,0,0.026000000000000002,True,,
4,0.0,2.0,0,0.026000000000000002,True,,
0,1.0,2.0,0,0.0182,True,,
1,1.0,2.0,0,0.0182,True,,
2,1.0,2.0,0,0.0182,True,,
3,1.0,2.0,0,0.0182,True,,
4,1.0,2.0,0,0.0182,True,,
0,2.0,2.0,0,0.0234,False,,
1,2.0,2.0,0,0.0234,False,,
