S,25,T,prob,Connected,23,14,11,7,1,33,34,30,31,24,29,22,27,15,20,13,19
0,0.0,0,0.71,True,,,,,,,,,,,,,,,,,
1,0.0,0,0.71,True,,,,,,,,,,,,,,,,,
0,1.0,0,0.29,False,,,,,,,,,,,,,,,,,
1,1.0,0,0.29,True,,,,,,,,,,,,,,,,,
0,0.0,1,0.71,False,,,,,,,,,,,,,,,,,
1,0.0,1,0.71,False,,,,,,,,,,,,,,,,,
0,1.0,1,0.29,False,,,,,,,,,,,,,,,,,
1,1.0,1,0.29,True,,,,,,,,,,,,,,,,,
0,,0,0.73,False,0.0,,,,,,,,,,,,,,,,
1,,0,0.73,False,0.0,,,,,,,,,,,,,,,,
0,,0,0.27,True,1.0,,,,,,,,,,,,,,,,
1,,0,0.27,True,1.0,,,,,,,,,,,,,,,,
0,,1,0.73,False,0.0,,,,,,,,,,,,,,,,
1,,1,0.73,False,0.0,,,,,,,,,,,,,,,,
0,,1,0.27,True,1.0,,,,,,,,,,,,,,,,
1,,1,0.27,True,1.0,,,,,,,,,,,,,,,,
0,,0,0.75,True,,0.0,,,,,,,,,,,,,,,
1,,0,0.75,True,,0.0,,,,,,,,,,,,,,,
0,,0,0.25,False,,1.0,,,,,,,,,,,,,,,
1,,0,0.25,False,,1.0,,,,,,,,,,,,,,,
0,,1,0.75,True,,0.0,,,,,,,,,,,,,,,
1,,1,0.75,True,,0.0,,,,,,,,,,,,,,,
0,,1,0.25,False,,1.0,,,,,,,,,,,,,,,
1,,1,0.25,False,,1.0,,,,,,,,,,,,,,,
0,,0,0.79,False,,,0.0,,,,,,,,,,,,,,
1,,0,0.79,False,,,0.0,,,,,,,,,,,,,,
0,,0,0.21,False,,,1.0,,,,,,,,,,,,,,
1,,0,0.21,False,,,1.0,,,,,,,,,,,,,,
0,,1,0.79,False,,,0.0,,,,,,,,,,,,,,
1,,1,0.79,False,,,0.0,,,,,,,,,,,,,,
0,,1,0.21,False,,,1.0,,,,,,,,,,,,,,
1,,1,0.21,True,,,1.0,,,,,,,,,,,,,,
0,,0,0.52,True,,,,0.0,,,,,,,,,,,,,
1,,0,0.52,True,,,,0.0,,,,,,,,,,,,,
0,,0,0.48,True,,,,1.0,,,,,,,,,,,,,
1,,0,0.48,True,,,,1.0,,,,,,,,,,,,,
0,,1,0.52,True,,,,0.0,,,,,,,,,,,,,
1,,1,0.52,True,,,,0.0,,,,,,,,,,,,,
0,,1,0.48,True,,,,1.0,,,,,,,,,,,,,
1,,1,0.48,True,,,,1.0,,,,,,,,,,,,,
0,,0,0.65,False,,,,,0.0,,,,,,,,,,,,
1,,0,0.65,True,,,,,0.0,,,,,,,,,,,,
0,,0,0.35,True,,,,,1.0,,,,,,,,,,,,
1,,0,0.35,True,,,,,1.0,,,,,,,,,,,,
0,,1,0.65,False,,,,,0.0,,,,,,,,,,,,
1,,1,0.65,True,,,,,0.0,,,,,,,,,,,,
0,,1,0.35,False,,,,,1.0,,,,,,,,,,,,
1,,1,0.35,False,,,,,1.0,,,,,,,,,,,,
0,,0,0.255,True,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.255,True,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.245,False,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.245,True,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.255,True,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.255,True,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.245,False,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.245,False,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.255,True,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.255,True,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.245,False,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.245,True,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.255,True,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.255,True,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.245,False,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.245,False,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.341,False,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.341,False,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.20900000000000002,False,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.20900000000000002,False,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.279,False,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.279,False,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.171,True,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.171,True,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.341,False,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.341,False,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.20900000000000002,True,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.20900000000000002,True,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.279,False,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.279,False,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.171,True,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.171,True,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.6320000000000001,True,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.6320000000000001,False,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.15800000000000003,False,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.15800000000000003,False,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.168,False,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.168,False,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.042,True,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.042,True,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.6320000000000001,True,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.6320000000000001,False,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.15800000000000003,False,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.15800000000000003,False,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.168,False,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.168,False,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.042,True,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.042,True,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.4662,False,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.4662,False,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.1638,True,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.1638,True,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.2738,False,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.2738,False,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.09620000000000001,True,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.09620000000000001,True,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.4662,False,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.4662,False,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.1638,False,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.1638,False,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.2738,False,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.2738,False,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.09620000000000001,True,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.09620000000000001,True,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.41759999999999997,True,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.41759999999999997,True,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.16240000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.16240000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.3024,True,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.3024,True,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.11760000000000001,True,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.11760000000000001,True,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.41759999999999997,False,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.41759999999999997,False,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.16240000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.16240000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.3024,True,,,,,,,,,,,,,,0.0,1.0,,
