S,4,T,prob,Connected,2
1,1.0,3,0.19,False,
2,1.0,3,0.19,False,
3,1.0,3,0.19,False,
4,1.0,3,0.19,False,
0,2.0,3,0.14,False,
1,2.0,3,0.14,False,
2,2.0,3,0.14,False,
3,2.0,3,0.14,False,
4,2.0,3,0.14,False,
0,3.0,3,0.13,False,
1,3.0,3,0.13,False,
2,3.0,3,0.13,False,
3,3.0,3,0.13,False,
4,3.0,3,0.13,False,
0,4.0,3,0.44,True,
1,4.0,3,0.44,True,
2,4.0,3,0.44,True,
3,4.0,3,0.44,False,
4,4.0,3,0.44,True,
0,0.0,4,0.1,False,
1,0.0,4,0.1,False,
2,0.0,4,0.1,False,
3,0.0,4,0.1,False,
4,0.0,4,0.1,False,
0,1.0,4,0.19,False,
1,1.0,4,0.19,False,
2,1.0,4,0.19,False,
3,1.0,4,0.19,False,
4,1.0,4,0.19,False,
0,2.0,4,0.14,True,
1,2.0,4,0.14,True,
2,2.0,4,0.14,True,
3,2.0,4,0.14,True,
4,2.0,4,0.14,True,
0,3.0,4,0.13,True,
1,3.0,4,0.13,True,
2,3.0,4,0.13,True,
3,3.0,4,0.13,True,
4,3.0,4,0.13,True,
0,4.0,4,0.44,True,
1,4.0,4,0.44,True,
2,4.0,4,0.44,True,
3,4.0,4,0.44,False,
4,4.0,4,0.44,True,
0,,0,0.11,False,0.0
1,,0,0.11,False,0.0
2,,0,0.11,True,0.0
3,,0,0.11,True,0.0
4,,0,0.11,False,0.0
0,,0,0.16,False,1.0
1,,0,0.16,False,1.0
2,,0,0.16,False,1.0
3,,0,0.16,False,1.0
4,,0,0.16,False,1.0
0,,0,0.11,True,2.0
1,,0,0.11,True,2.0
2,,0,0.11,True,2.0
3,,0,0.11,False,2.0
4,,0,0.11,True,2.0
0,,0,0.1,False,3.0
1,,0,0.1,True,3.0
2,,0,0.1,True,3.0
3,,0,0.1,True,3.0
4,,0,0.1,True,3.0
0,,0,0.52,False,4.0
1,,0,0.52,False,4.0
2,,0,0.52,False,4.0
3,,0,0.52,False,4.0
4,,0,0.52,False,4.0
0,,1,0.11,False,0.0
1,,1,0.11,False,0.0
2,,1,0.11,True,0.0
3,,1,0.11,True,0.0
4,,1,0.11,False,0.0
0,,1,0.16,True,1.0
1,,1,0.16,True,1.0
2,,1,0.16,True,1.0
3,,1,0.16,True,1.0
4,,1,0.16,True,1.0
0,,1,0.11,True,2.0
1,,1,0.11,True,2.0
2,,1,0.11,True,2.0
3,,1,0.11,False,2.0
4,,1,0.11,True,2.0
0,,1,0.1,False,3.0
1,,1,0.1,True,3.0
2,,1,0.1,True,3.0
3,,1,0.1,True,3.0
4,,1,0.1,True,3.0
0,,1,0.52,True,4.0
1,,1,0.52,False,4.0
2,,1,0.52,True,4.0
3,,1,0.52,False,4.0
4,,1,0.52,True,4.0
0,,2,0.11,False,0.0
1,,2,0.11,False,0.0
2,,2,0.11,True,0.0
3,,2,0.11,True,0.0
4,,2,0.11,False,0.0
0,,2,0.16,True,1.0
1,,2,0.16,True,1.0
2,,2,0.16,True,1.0
3,,2,0.16,True,1.0
4,,2,0.16,True,1.0
0,,2,0.11,True,2.0
1,,2,0.11,True,2.0
2,,2,0.11,True,2.0
3,,2,0.11,False,2.0
4,,2,0.11,True,2.0
0,,2,0.1,False,3.0
1,,2,0.1,True,3.0
2,,2,0.1,True,3.0
3,,2,0.1,True,3.0
4,,2,0.1,True,3.0
0,,2,0.52,True,4.0
1,,2,0.52,False,4.0
2,,2,0.52,True,4.0
3,,2,0.52,False,4.0
4,,2,0.52,True,4.0
0,,3,0.11,False,0.0
1,,3,0.11,False,0.0
2,,3,0.11,True,0.0
3,,3,0.11,True,0.0
4,,3,0.11,False,0.0
0,,3,0.16,True,1.0
1,,3,0.16,True,1.0
2,,3,0.16,True,1.0
3,,3,0.16,True,1.0
4,,3,0.16,True,1.0
0,,3,0.11,True,2.0
1,,3,0.11,True,2.0
2,,3,0.11,True,2.0
3,,3,0.11,False,2.0
4,,3,0.11,True,2.0
0,,3,0.1,False,3.0
1,,3,0.1,False,3.0
2,,3,0.1,False,3.0
3,,3,0.1,False,3.0
4,,3,0.1,False,3.0
0,,3,0.52,False,4.0
1,,3,0.52,False,4.0
2,,3,0.52,False,4.0
3,,3,0.52,False,4.0
4,,3,0.52,False,4.0
0,,4,0.11,False,0.0
1,,4,0.11,False,0.0
2,,4,0.11,True,0.0
3,,4,0.11,True,0.0
4,,4,0.11,False,0.0
0,,4,0.16,True,1.0
1,,4,0.16,True,1.0
2,,4,0.16,True,1.0
3,,4,0.16,True,1.0
4,,4,0.16,True,1.0
0,,4,0.11,True,2.0
1,,4,0.11,True,2.0
2,,4,0.11,True,2.0
3,,4,0.11,False,2.0
4,,4,0.11,True,2.0
0,,4,0.1,False,3.0
1,,4,0.1,False,3.0
2,,4,0.1,False,3.0
3,,4,0.1,False,3.0
4,,4,0.1,False,3.0
0,,4,0.52,False,4.0
1,,4,0.52,False,4.0
2,,4,0.52,False,4.0
3,,4,0.52,False,4.0
4,,4,0.52,False,4.0
