S,25,T,prob,Connected,22,21,18,16,15,12,8,5,3,30,33,27,32,6,10,2,9
0,0.0,0,0.57,False,,,,,,,,,,,,,,,,,
1,0.0,0,0.57,False,,,,,,,,,,,,,,,,,
0,1.0,0,0.43,False,,,,,,,,,,,,,,,,,
1,1.0,0,0.43,False,,,,,,,,,,,,,,,,,
0,0.0,1,0.57,True,,,,,,,,,,,,,,,,,
1,0.0,1,0.57,True,,,,,,,,,,,,,,,,,
0,1.0,1,0.43,False,,,,,,,,,,,,,,,,,
1,1.0,1,0.43,True,,,,,,,,,,,,,,,,,
0,,0,0.78,False,0.0,,,,,,,,,,,,,,,,
1,,0,0.78,False,0.0,,,,,,,,,,,,,,,,
0,,0,0.22,False,1.0,,,,,,,,,,,,,,,,
1,,0,0.22,False,1.0,,,,,,,,,,,,,,,,
0,,1,0.78,False,0.0,,,,,,,,,,,,,,,,
1,,1,0.78,False,0.0,,,,,,,,,,,,,,,,
0,,1,0.22,False,1.0,,,,,,,,,,,,,,,,
1,,1,0.22,False,1.0,,,,,,,,,,,,,,,,
0,,0,0.71,False,,0.0,,,,,,,,,,,,,,,
1,,0,0.71,False,,0.0,,,,,,,,,,,,,,,
0,,0,0.29,True,,1.0,,,,,,,,,,,,,,,
1,,0,0.29,True,,1.0,,,,,,,,,,,,,,,
0,,1,0.71,False,,0.0,,,,,,,,,,,,,,,
1,,1,0.71,False,,0.0,,,,,,,,,,,,,,,
0,,1,0.29,True,,1.0,,,,,,,,,,,,,,,
1,,1,0.29,True,,1.0,,,,,,,,,,,,,,,
0,,0,0.62,False,,,0.0,,,,,,,,,,,,,,
1,,0,0.62,False,,,0.0,,,,,,,,,,,,,,
0,,0,0.38,False,,,1.0,,,,,,,,,,,,,,
1,,0,0.38,False,,,1.0,,,,,,,,,,,,,,
0,,1,0.62,False,,,0.0,,,,,,,,,,,,,,
1,,1,0.62,False,,,0.0,,,,,,,,,,,,,,
0,,1,0.38,False,,,1.0,,,,,,,,,,,,,,
1,,1,0.38,False,,,1.0,,,,,,,,,,,,,,
0,,0,0.55,False,,,,0.0,,,,,,,,,,,,,
1,,0,0.55,False,,,,0.0,,,,,,,,,,,,,
0,,0,0.45,False,,,,1.0,,,,,,,,,,,,,
