S,12,T,prob,Connected,10,9,4,3,7,11
0,0.0,0,0.62,True,,,,,,
1,0.0,0,0.62,True,,,,,,
0,1.0,0,0.38,False,,,,,,
1,1.0,0,0.38,False,,,,,,
0,0.0,1,0.62,True,,,,,,
1,0.0,1,0.62,True,,,,,,
0,1.0,1,0.38,False,,,,,,
1,1.0,1,0.38,False,,,,,,
0,,0,0.66,True,0.0,,,,,
1,,0,0.66,False,0.0,,,,,
0,,0,0.34,True,1.0,,,,,
1,,0,0.34,True,1.0,,,,,
0,,1,0.66,True,0.0,,,,,
1,,1,0.66,False,0.0,,,,,
0,,1,0.34,True,1.0,,,,,
1,,1,0.34,True,1.0,,,,,
0,,0,0.74,True,,0.0,,,,
1,,0,0.74,False,,0.0,,,,
0,,0,0.26,False,,1.0,,,,
1,,0,0.26,True,,1.0,,,,
0,,1,0.74,True,,0.0,,,,
1,,1,0.74,False,,0.0,,,,
0,,1,0.26,False,,1.0,,,,
1,,1,0.26,True,,1.0,,,,
0,,0,0.68,True,,,0.0,,,
1,,0,0.68,True,,,0.0,,,
0,,0,0.32,True,,,1.0,,,
1,,0,0.32,True,,,1.0,,,
0,,1,0.68,True,,,0.0,,,
1,,1,0.68,True,,,0.0,,,
0,,1,0.32,True,,,1.0,,,
1,,1,0.32,True,,,1.0,,,
0,,0,0.56,True,,,,0.0,,
1,,0,0.56,True,,,,0.0,,
0,,0,0.44,True,,,,1.0,,
1,,0,0.44,True,,,,1.0,,
0,,1,0.56,False,,,,0.0,,
1,,1,0.56,False,,,,0.0,,
0,,1,0.44,True,,,,1.0,,
1,,1,0.44,True,,,,1.0,,
0,,0,0.3456,True,,,,,0.0,0.0
1,,0,0.3456,True,,,,,0.0,0.0
0,,0,0.2944,True,,,,,1.0,0.0
1,,0,0.2944,True,,,,,1.0,0.0
0,,0,0.19440000000000002,False,,,,,0.0,1.0
1,,0,0.19440000000000002,False,,,,,0.0,1.0
0,,0,0.1656,False,,,,,1.0,1.0
1,,0,0.1656,False,,,,,1.0,1.0
0,,1,0.3456,False,,,,,0.0,0.0
1,,1,0.3456,False,,,,,0.0,0.0
0,,1,0.2944,False,,,,,1.0,0.0
1,,1,0.2944,False,,,,,1.0,0.0
0,,1,0.19440000000000002,True,,,,,0.0,1.0
1,,1,0.19440000000000002,True,,,,,0.0,1.0
0,,1,0.1656,True,,,,,1.0,1.0
1,,1,0.1656,True,,,,,1.0,1.0
