S,8,T,prob,Connected,7,4,3,2
0,0.0,0,0.27,True,,,,
1,0.0,0,0.27,True,,,,
2,0.0,0,0.27,True,,,,
0,1.0,0,0.3,False,,,,
1,1.0,0,0.3,False,,,,
2,1.0,0,0.3,False,,,,
0,2.0,0,0.43,True,,,,
1,2.0,0,0.43,True,,,,
2,2.0,0,0.43,True,,,,
0,0.0,1,0.27,True,,,,
1,0.0,1,0.27,True,,,,
2,0.0,1,0.27,True,,,,
0,1.0,1,0.3,False,,,,
1,1.0,1,0.3,True,,,,
2,1.0,1,0.3,True,,,,
0,2.0,1,0.43,True,,,,
1,2.0,1,0.43,True,,,,
2,2.0,1,0.43,True,,,,
0,0.0,2,0.27,True,,,,
1,0.0,2,0.27,True,,,,
2,0.0,2,0.27,True,,,,
0,1.0,2,0.3,False,,,,
1,1.0,2,0.3,True,,,,
2,1.0,2,0.3,True,,,,
0,2.0,2,0.43,False,,,,
1,2.0,2,0.43,False,,,,
2,2.0,2,0.43,False,,,,
0,,0,0.36,True,0.0,,,
1,,0,0.36,True,0.0,,,
2,,0,0.36,True,0.0,,,
0,,0,0.24,False,1.0,,,
1,,0,0.24,False,1.0,,,
2,,0,0.24,False,1.0,,,
0,,0,0.4,False,2.0,,,
1,,0,0.4,True,2.0,,,
2,,0,0.4,False,2.0,,,
0,,1,0.36,False,0.0,,,
1,,1,0.36,False,0.0,,,
2,,1,0.36,False,0.0,,,
0,,1,0.24,True,1.0,,,
1,,1,0.24,False,1.0,,,
2,,1,0.24,True,1.0,,,
0,,1,0.4,False,2.0,,,
1,,1,0.4,True,2.0,,,
2,,1,0.4,False,2.0,,,
0,,2,0.36,False,0.0,,,
1,,2,0.36,False,0.0,,,
2,,2,0.36,False,0.0,,,
0,,2,0.24,False,1.0,,,
1,,2,0.24,False,1.0,,,
2,,2,0.24,False,1.0,,,
0,,2,0.4,False,2.0,,,
1,,2,0.4,True,2.0,,,
2,,2,0.4,False,2.0,,,
0,,0,0.39,True,,0.0,,
1,,0,0.39,True,,0.0,,
2,,0,0.39,False,,0.0,,
0,,0,0.35,False,,1.0,,
1,,0,0.35,False,,1.0,,
2,,0,0.35,False,,1.0,,
0,,0,0.26,True,,2.0,,
1,,0,0.26,True,,2.0,,
2,,0,0.26,True,,2.0,,
0,,1,0.39,True,,0.0,,
1,,1,0.39,True,,0.0,,
2,,1,0.39,False,,0.0,,
0,,1,0.35,True,,1.0,,
1,,1,0.35,True,,1.0,,
2,,1,0.35,True,,1.0,,
0,,1,0.26,True,,2.0,,
1,,1,0.26,True,,2.0,,
2,,1,0.26,True,,2.0,,
0,,2,0.39,False,,0.0,,
1,,2,0.39,False,,0.0,,
2,,2,0.39,False,,0.0,,
0,,2,0.35,True,,1.0,,
1,,2,0.35,True,,1.0,,
2,,2,0.35,True,,1.0,,
0,,2,0.26,True,,2.0,,
1,,2,0.26,True,,2.0,,
2,,2,0.26,True,,2.0,,
0,,0,0.36,True,,,0.0,
1,,0,0.36,True,,,0.0,
2,,0,0.36,True,,,0.0,
0,,0,0.59,False,,,1.0,
1,,0,0.59,False,,,1.0,
2,,0,0.59,True,,,1.0,
0,,0,0.05,False,,,2.0,
1,,0,0.05,False,,,2.0,
2,,0,0.05,False,,,2.0,
0,,1,0.36,True,,,0.0,
1,,1,0.36,True,,,0.0,
2,,1,0.36,True,,,0.0,
0,,1,0.59,False,,,1.0,
1,,1,0.59,False,,,1.0,
2,,1,0.59,True,,,1.0,
0,,1,0.05,False,,,2.0,
1,,1,0.05,False,,,2.0,
2,,1,0.05,False,,,2.0,
0,,2,0.36,True,,,0.0,
1,,2,0.36,True,,,0.0,
2,,2,0.36,True,,,0.0,
0,,2,0.59,False,,,1.0,
1,,2,0.59,False,,,1.0,
2,,2,0.59,True,,,1.0,
0,,2,0.05,True,,,2.0,
1,,2,0.05,True,,,2.0,
2,,2,0.05,True,,,2.0,
0,,0,0.33,False,,,,0.0
1,,0,0.33,False,,,,0.0
2,,0,0.33,False,,,,0.0
0,,0,0.67,False,,,,1.0
1,,0,0.67,False,,,,1.0
2,,0,0.67,False,,,,1.0
0,,1,0.33,False,,,,0.0
1,,1,0.33,True,,,,0.0
2,,1,0.33,True,,,,0.0
0,,1,0.67,False,,,,1.0
1,,1,0.67,True,,,,1.0
2,,1,0.67,True,,,,1.0
0,,2,0.33,False,,,,0.0
1,,2,0.33,True,,,,0.0
2,,2,0.33,True,,,,0.0
0,,2,0.67,False,,,,1.0
1,,2,0.67,False,,,,1.0
2,,2,0.67,False,,,,1.0
