S,5,6,T,prob,Connected,1,3
0,0.0,0.0,0,0.12,True,,
1,0.0,0.0,0,0.12,True,,
2,0.0,0.0,0,0.12,True,,
3,0.0,0.0,0,0.12,False,,
0,1.0,0.0,0,0.10200000000000001,True,,
1,1.0,0.0,0,0.10200000000000001,True,,
2,1.0,0.0,0,0.10200000000000001,True,,
3,1.0,0.0,0,0.10200000000000001,True,,
0,2.0,0.0,0,0.078,False,,
1,2.0,0.0,0,0.078,False,,
2,2.0,0.0,0,0.078,False,,
3,2.0,0.0,0,0.078,True,,
0,0.0,1.0,0,0.136,False,,
1,0.0,1.0,0,0.136,False,,
2,0.0,1.0,0,0.136,False,,
3,0.0,1.0,0,0.136,False,,
0,1.0,1.0,0,0.11560000000000002,False,,
1,1.0,1.0,0,0.11560000000000002,False,,
2,1.0,1.0,0,0.11560000000000002,False,,
3,1.0,1.0,0,0.11560000000000002,False,,
0,2.0,1.0,0,0.0884,False,,
1,2.0,1.0,0,0.0884,False,,
2,2.0,1.0,0,0.0884,False,,
3,2.0,1.0,0,0.0884,False,,
0,0.0,2.0,0,0.128,True,,
1,0.0,2.0,0,0.128,True,,
2,0.0,2.0,0,0.128,True,,
3,0.0,2.0,0,0.128,False,,
0,1.0,2.0,0,0.10880000000000001,True,,
1,1.0,2.0,0,0.10880000000000001,True,,
2,1.0,2.0,0,0.10880000000000001,True,,
3,1.0,2.0,0,0.10880000000000001,True,,
0,2.0,2.0,0,0.08320000000000001,False,,
1,2.0,2.0,0,0.08320000000000001,False,,
2,2.0,2.0,0,0.08320000000000001,False,,
3,2.0,2.0,0,0.08320000000000001,True,,
0,0.0,3.0,0,0.016,False,,
1,0.0,3.0,0,0.016,False,,
2,0.0,3.0,0,0.016,False,,
3,0.0,3.0,0,0.016,False,,
0,1.0,3.0,0,0.013600000000000001,True,,
1,1.0,3.0,0,0.013600000000000001,True,,
2,1.0,3.0,0,0.013600000000000001,True,,
3,1.0,3.0,0,0.013600000000000001,True,,
0,2.0,3.0,0,0.010400000000000001,False,,
1,2.0,3.0,0,0.010400000000000001,False,,
2,2.0,3.0,0,0.010400000000000001,False,,
3,2.0,3.0,0,0.010400000000000001,True,,
0,0.0,0.0,1,0.12,True,,
1,0.0,0.0,1,0.12,True,,
2,0.0,0.0,1,0.12,True,,
3,0.0,0.0,1,0.12,False,,
0,1.0,0.0,1,0.10200000000000001,True,,
1,1.0,0.0,1,0.10200000000000001,True,,
2,1.0,0.0,1,0.10200000000000001,True,,
3,1.0,0.0,1,0.10200000000000001,True,,
0,2.0,0.0,1,0.078,False,,
1,2.0,0.0,1,0.078,False,,
2,2.0,0.0,1,0.078,False,,
3,2.0,0.0,1,0.078,True,,
0,0.0,1.0,1,0.136,True,,
1,0.0,1.0,1,0.136,True,,
2,0.0,1.0,1,0.136,True,,
3,0.0,1.0,1,0.136,False,,
0,1.0,1.0,1,0.11560000000000002,False,,
1,1.0,1.0,1,0.11560000000000002,False,,
2,1.0,1.0,1,0.11560000000000002,False,,
3,1.0,1.0,1,0.11560000000000002,False,,
0,2.0,1.0,1,0.0884,False,,
1,2.0,1.0,1,0.0884,False,,
2,2.0,1.0,1,0.0884,False,,
3,2.0,1.0,1,0.0884,True,,
0,0.0,2.0,1,0.128,True,,
1,0.0,2.0,1,0.128,True,,
2,0.0,2.0,1,0.128,True,,
3,0.0,2.0,1,0.128,False,,
0,1.0,2.0,1,0.10880000000000001,True,,
1,1.0,2.0,1,0.10880000000000001,True,,
2,1.0,2.0,1,0.10880000000000001,True,,
3,1.0,2.0,1,0.10880000000000001,True,,
0,2.0,2.0,1,0.08320000000000001,False,,
1,2.0,2.0,1,0.08320000000000001,False,,
2,2.0,2.0,1,0.08320000000000001,False,,
3,2.0,2.0,1,0.08320000000000001,True,,
0,0.0,3.0,1,0.016,False,,
1,0.0,3.0,1,0.016,False,,
2,0.0,3.0,1,0.016,False,,
3,0.0,3.0,1,0.016,False,,
0,1.0,3.0,1,0.013600000000000001,False,,
1,1.0,3.0,1,0.013600000000000001,False,,
2,1.0,3.0,1,0.013600000000000001,False,,
3,1.0,3.0,1,0.013600000000000001,False,,
0,2.0,3.0,1,0.010400000000000001,False,,
1,2.0,3.0,1,0.010400000000000001,False,,
2,2.0,3.0,1,0.010400000000000001,False,,
3,2.0,3.0,1,0.010400000000000001,False,,
0,0.0,0.0,2,0.12,True,,
1,0.0,0.0,2,0.12,True,,
2,0.0,0.0,2,0.12,True,,
3,0.0,0.0,2,0.12,False,,
0,1.0,0.0,2,0.10200000000000001,True,,
1,1.0,0.0,2,0.10200000000000001,True,,
2,1.0,0.0,2,0.10200000000000001,True,,
3,1.0,0.0,2,0.10200000000000001,True,,
0,2.0,0.0,2,0.078,False,,
1,2.0,0.0,2,0.078,False,,
2,2.0,0.0,2,0.078,False,,
3,2.0,0.0,2,0.078,True,,
0,0.0,1.0,2,0.136,False,,
1,0.0,1.0,2,0.136,False,,
2,0.0,1.0,2,0.136,False,,
3,0.0,1.0,2,0.136,False,,
0,1.0,1.0,2,0.11560000000000002,False,,
1,1.0,1.0,2,0.11560000000000002,False,,
2,1.0,1.0,2,0.11560000000000002,False,,
3,1.0,1.0,2,0.11560000000000002,False,,
0,2.0,1.0,2,0.0884,False,,
1,2.0,1.0,2,0.0884,False,,
2,2.0,1.0,2,0.0884,False,,
3,2.0,1.0,2,0.0884,False,,
0,0.0,2.0,2,0.128,True,,
1,0.0,2.0,2,0.128,True,,
2,0.0,2.0,2,0.128,True,,
3,0.0,2.0,2,0.128,False,,
0,1.0,2.0,2,0.10880000000000001,True,,
1,1.0,2.0,2,0.10880000000000001,True,,
2,1.0,2.0,2,0.10880000000000001,True,,
3,1.0,2.0,2,0.10880000000000001,True,,
0,2.0,2.0,2,0.08320000000000001,False,,
1,2.0,2.0,2,0.08320000000000001,False,,
2,2.0,2.0,2,0.08320000000000001,False,,
3,2.0,2.0,2,0.08320000000000001,True,,
0,0.0,3.0,2,0.016,False,,
1,0.0,3.0,2,0.016,False,,
2,0.0,3.0,2,0.016,False,,
3,0.0,3.0,2,0.016,False,,
0,1.0,3.0,2,0.013600000000000001,True,,
1,1.0,3.0,2,0.013600000000000001,True,,
2,1.0,3.0,2,0.013600000000000001,True,,
3,1.0,3.0,2,0.013600000000000001,True,,
0,2.0,3.0,2,0.010400000000000001,False,,
1,2.0,3.0,2,0.010400000000000001,False,,
2,2.0,3.0,2,0.010400000000000001,False,,
3,2.0,3.0,2,0.010400000000000001,True,,
0,0.0,0.0,3,0.12,True,,
1,0.0,0.0,3,0.12,True,,
2,0.0,0.0,3,0.12,True,,
3,0.0,0.0,3,0.12,False,,
