S,31,T,prob,Connected,23,18,33,34,22,30,21,27,20,26,16,24,13,15,12,14,7,8
0,,0,0.1443,False,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.1443,False,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.3843,False,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.3843,False,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.22569999999999998,False,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.22569999999999998,False,,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.2457,False,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.2457,False,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.1443,False,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.1443,False,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.35200000000000004,False,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.35200000000000004,False,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.28800000000000003,False,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.28800000000000003,False,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.198,False,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.198,False,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.162,False,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.162,False,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.35200000000000004,False,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.35200000000000004,False,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.28800000000000003,True,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.28800000000000003,False,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.198,False,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.198,False,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.162,False,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.162,False,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.4288,False,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.4288,False,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.21120000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.21120000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.2412,False,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.2412,True,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.1188,True,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.1188,False,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.4288,False,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.4288,True,,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.21120000000000003,True,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.21120000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.2412,False,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.2412,False,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.1188,False,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.1188,False,,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.36300000000000004,False,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.36300000000000004,False,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.18700000000000003,False,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.18700000000000003,False,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.29700000000000004,True,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.29700000000000004,True,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.15300000000000002,False,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.15300000000000002,False,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.36300000000000004,False,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.36300000000000004,False,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.18700000000000003,False,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.18700000000000003,False,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.29700000000000004,True,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.29700000000000004,True,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.15300000000000002,False,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.15300000000000002,False,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.5624,False,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.5624,False,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.1976,False,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.1976,False,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.17759999999999998,False,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.17759999999999998,False,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.0624,False,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.0624,False,,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.5624,False,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.5624,False,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.1976,False,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.1976,False,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.17759999999999998,False,,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.17759999999999998,False,,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.0624,False,,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.0624,False,,,,,,,,,,,,,,,,,1.0,1.0
