S,5,T,prob,Connected
0,0,0,0.17,False
1,0,0,0.17,False
2,0,0,0.17,False
3,0,0,0.17,False
4,0,0,0.17,False
0,1,0,0.15,True
1,1,0,0.15,True
2,1,0,0.15,False
3,1,0,0.15,True
4,1,0,0.15,True
0,2,0,0.14,True
1,2,0,0.14,True
2,2,0,0.14,True
3,2,0,0.14,True
4,2,0,0.14,True
0,0,1,0.17,True
1,0,1,0.17,True
2,0,1,0.17,False
3,0,1,0.17,True
4,0,1,0.17,True
0,1,1,0.15,True
1,1,1,0.15,True
2,1,1,0.15,False
3,1,1,0.15,True
4,1,1,0.15,True
0,2,1,0.14,True
1,2,1,0.14,True
2,2,1,0.14,True
3,2,1,0.14,True
4,2,1,0.14,True
0,0,2,0.17,True
1,0,2,0.17,True
2,0,2,0.17,False
3,0,2,0.17,True
4,0,2,0.17,True
0,1,2,0.15,True
1,1,2,0.15,True
2,1,2,0.15,False
3,1,2,0.15,True
4,1,2,0.15,True
0,2,2,0.14,True
1,2,2,0.14,True
2,2,2,0.14,True
3,2,2,0.14,True
4,2,2,0.14,True
0,0,3,0.17,True
1,0,3,0.17,True
2,0,3,0.17,False
3,0,3,0.17,True
4,0,3,0.17,True
0,1,3,0.15,False
1,1,3,0.15,False
2,1,3,0.15,False
3,1,3,0.15,False
4,1,3,0.15,False
0,2,3,0.14,True
1,2,3,0.14,True
2,2,3,0.14,True
3,2,3,0.14,True
4,2,3,0.14,True
0,0,4,0.17,True
1,0,4,0.17,True
2,0,4,0.17,False
3,0,4,0.17,True
4,0,4,0.17,True
0,1,4,0.15,True
1,1,4,0.15,True
2,1,4,0.15,False
3,1,4,0.15,True
4,1,4,0.15,True
0,2,4,0.14,False
1,2,4,0.14,False
2,2,4,0.14,False
3,2,4,0.14,False
4,2,4,0.14,False
