V,Loc_max,Conn_Level,Connectivity,Running Time,,,,,
8,2,1,0.596278,0.051040173,,,,,
8,2,1,0.48504088,0.045804977,,,,,
8,2,1,0.860345,0.041877031,,,L,Connectivity,Running Time
8,2,1,0.264069,0.033343077,,,2,0.59,2.26
8,2,2,0.888989424,0.058309078,,,3,0.55,3.73
8,2,2,0.502878,0.029846907,,,4,0.68,10.62
8,2,2,0.412958,0.013919115,,,5,0.47,18.61
8,2,2,0.741339632,0.039578199,,,6,0.09,20.06
8,2,3,0.184884286,0.040611029,,,,,
8,2,3,0.854764,0.02798295,,,,,
8,2,3,0.3262469,0.030172825,,,,,
8,2,3,0.96688,0.040513039,,,,,
8,3,1,0.12876,0.030618668,,,,,
8,3,1,0.2743115,0.048741102,,,,,
8,3,1,0.413792224,0.071833134,,,,,
8,3,1,0,0.028797865,,,,,
8,3,2,0.50294931,0.05260396,,,,,
8,3,2,0.3789555,0.055201054,,,,,
8,3,2,1,0.069891214,,,,,
8,3,2,0.596971726,0.061176062,,,,,
8,3,3,1,0.055147171,,,,,
8,3,3,0.331860179,0.046689034,,,,,
8,3,3,0.982962692,0.148893118,,,,,
8,3,3,0.520411224,0.042684317,,,,,
8,3,3,0.985649664,0.095826864,,,,,
8,4,1,0.1272096,0.065008163,,,,,
8,4,1,0.37094792,0.069795847,,,,,
8,4,1,0.588826678,0.127341747,,,,,
8,4,1,0.467146266,0.26303792,,,,,
8,4,1,0.555843464,0.304191113,,,,,
8,4,2,0.562015277,0.173135996,,,,,
8,4,2,0.947540188,0.231389046,,,,,
8,4,2,0.8545979,0.111518383,,,,,
8,4,2,0.41301,0.05833602,,,,,
8,4,2,0.897418531,0.17353797,,,,,
8,4,3,0.907726448,0.260425329,,,,,
8,4,3,0.78538408,0.11413312,,,,,
8,4,3,0.982839609,0.232208967,,,,,
8,4,3,0.707356026,0.217767,,,,,
8,4,3,0.997212631,0.252843142,,,,,
8,5,1,0.20200884,0.286687136,,,,,
8,5,1,0.248194058,0.363376141,,,,,
8,5,1,0.174204064,0.141583681,,,,,
8,5,1,0.386305096,0.384083033,,,,,
8,5,2,0.303292357,0.611617088,,,,,
8,5,2,0.61283255,0.402120829,,,,,
8,5,2,0.69419078,0.208760977,,,,,
8,5,2,0.342990677,0.328516245,,,,,
8,5,2,0.417990656,0.191745996,,,,,
8,5,3,0.6947889,0.155314922,,,,,
8,5,3,0.745940505,0.249342918,,,,,
8,5,3,0.32404,0.076195002,,,,,
8,5,3,0.443767631,0.6279881,,,,,
8,5,3,0.941634763,0.315077782,,,,,
8,6,1,0.04206284,0.18779707,,,,,
8,6,1,0.017934,0.058670044,,,,,
8,6,1,0.073936727,0.297715902,,,,,
8,6,1,0.075423579,0.257159233,,,,,
8,6,1,0.043111678,0.241160154,,,,,
8,6,2,0.0175524,0.12351203,,,,,
8,6,2,0.180811249,0.275941849,,,,,
8,6,2,0.13000028,0.137143135,,,,,
8,6,2,0.00821,0.100122929,,,,,
8,6,2,0.021499899,1.213456869,,,,,
8,6,3,0.326575696,0.724922895,,,,,
8,6,3,0.032941634,0.348399639,,,,,
8,6,3,0.195368868,0.379410982,,,,,
