S,7,T,prob,Connected,4,5,6
0,0.0,0,0.56,False,,,
1,0.0,0,0.56,True,,,
0,1.0,0,0.44,True,,,
1,1.0,0,0.44,True,,,
0,0.0,1,0.56,False,,,
1,0.0,1,0.56,False,,,
0,1.0,1,0.44,False,,,
1,1.0,1,0.44,False,,,
0,,0,0.78,False,0.0,,
1,,0,0.78,False,0.0,,
0,,0,0.22,True,1.0,,
1,,0,0.22,False,1.0,,
0,,1,0.78,False,0.0,,
1,,1,0.78,False,0.0,,
0,,1,0.22,True,1.0,,
1,,1,0.22,False,1.0,,
0,,0,0.3654,False,,0.0,0.0
1,,0,0.3654,False,,0.0,0.0
0,,0,0.2646,False,,1.0,0.0
1,,0,0.2646,False,,1.0,0.0
0,,0,0.21459999999999999,False,,0.0,1.0
1,,0,0.21459999999999999,False,,0.0,1.0
0,,0,0.15539999999999998,False,,1.0,1.0
1,,0,0.15539999999999998,False,,1.0,1.0
0,,1,0.3654,False,,0.0,0.0
1,,1,0.3654,False,,0.0,0.0
0,,1,0.2646,False,,1.0,0.0
1,,1,0.2646,False,,1.0,0.0
0,,1,0.21459999999999999,False,,0.0,1.0
1,,1,0.21459999999999999,False,,0.0,1.0
0,,1,0.15539999999999998,False,,1.0,1.0
1,,1,0.15539999999999998,False,,1.0,1.0
