S,10,T,prob,Connected,9,8,7,6,2
0,0.0,0,0.59,False,,,,,
1,0.0,0,0.59,True,,,,,
0,1.0,0,0.41,True,,,,,
1,1.0,0,0.41,True,,,,,
0,0.0,1,0.59,False,,,,,
1,0.0,1,0.59,True,,,,,
0,1.0,1,0.41,True,,,,,
1,1.0,1,0.41,True,,,,,
0,,0,0.67,True,0.0,,,,
1,,0,0.67,True,0.0,,,,
0,,0,0.33,True,1.0,,,,
1,,0,0.33,True,1.0,,,,
0,,1,0.67,True,0.0,,,,
1,,1,0.67,True,0.0,,,,
0,,1,0.33,True,1.0,,,,
1,,1,0.33,True,1.0,,,,
0,,0,0.8,False,,0.0,,,
1,,0,0.8,True,,0.0,,,
0,,0,0.2,True,,1.0,,,
1,,0,0.2,True,,1.0,,,
0,,1,0.8,False,,0.0,,,
1,,1,0.8,True,,0.0,,,
0,,1,0.2,True,,1.0,,,
1,,1,0.2,True,,1.0,,,
0,,0,0.74,True,,,0.0,,
1,,0,0.74,True,,,0.0,,
0,,0,0.26,True,,,1.0,,
1,,0,0.26,True,,,1.0,,
0,,1,0.74,True,,,0.0,,
1,,1,0.74,True,,,0.0,,
0,,1,0.26,True,,,1.0,,
1,,1,0.26,True,,,1.0,,
0,,0,0.65,False,,,,0.0,
1,,0,0.65,False,,,,0.0,
0,,0,0.35,False,,,,1.0,
1,,0,0.35,False,,,,1.0,
0,,1,0.65,False,,,,0.0,
1,,1,0.65,False,,,,0.0,
0,,1,0.35,False,,,,1.0,
1,,1,0.35,False,,,,1.0,
0,,0,0.53,True,,,,,0.0
1,,0,0.53,False,,,,,0.0
0,,0,0.47,True,,,,,1.0
1,,0,0.47,True,,,,,1.0
0,,1,0.53,False,,,,,0.0
1,,1,0.53,False,,,,,0.0
0,,1,0.47,False,,,,,1.0
1,,1,0.47,False,,,,,1.0
