S,6,T,prob,Connected,5,4
0,0.0,0,0.61,True,,
1,0.0,0,0.61,True,,
0,1.0,0,0.39,False,,
1,1.0,0,0.39,True,,
0,0.0,1,0.61,False,,
1,0.0,1,0.61,False,,
0,1.0,1,0.39,False,,
1,1.0,1,0.39,True,,
0,,0,0.63,False,0.0,
1,,0,0.63,True,0.0,
0,,0,0.37,True,1.0,
1,,0,0.37,False,1.0,
0,,1,0.63,False,0.0,
1,,1,0.63,False,0.0,
0,,1,0.37,True,1.0,
1,,1,0.37,False,1.0,
0,,0,0.72,True,,0.0
1,,0,0.72,True,,0.0
0,,0,0.28,False,,1.0
1,,0,0.28,False,,1.0
0,,1,0.72,True,,0.0
1,,1,0.72,True,,0.0
0,,1,0.28,False,,1.0
1,,1,0.28,False,,1.0
