S,31,T,prob,Connected,23,9,6,28,33,27,32,24,30,20,25,14,18,13,22,10,16,5,12,4,11
0,0.0,0,0.64,False,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.64,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.36,True,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.36,True,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.64,True,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.64,True,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.36,True,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.36,True,,,,,,,,,,,,,,,,,,,,,
0,,0,0.59,True,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.59,True,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,False,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.59,True,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.59,True,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,False,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,True,,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.65,True,,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.35,True,,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.65,True,,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.65,True,,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.66,True,,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.66,False,,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.34,True,,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.34,True,,,1.0,,,,,,,,,,,,,,,,,,
