S,9,T,prob,Connected,8,5,6,1,4
0,0.0,0,0.71,False,,,,,
1,0.0,0,0.71,False,,,,,
0,1.0,0,0.29,False,,,,,
1,1.0,0,0.29,False,,,,,
0,0.0,1,0.71,True,,,,,
1,0.0,1,0.71,False,,,,,
0,1.0,1,0.29,True,,,,,
1,1.0,1,0.29,False,,,,,
0,,0,0.69,False,0.0,,,,
1,,0,0.69,False,0.0,,,,
0,,0,0.31,False,1.0,,,,
1,,0,0.31,False,1.0,,,,
0,,1,0.69,False,0.0,,,,
1,,1,0.69,False,0.0,,,,
0,,1,0.31,False,1.0,,,,
1,,1,0.31,False,1.0,,,,
0,,0,0.27030000000000004,True,,0.0,0.0,,
1,,0,0.27030000000000004,True,,0.0,0.0,,
0,,0,0.2397,True,,1.0,0.0,,
1,,0,0.2397,True,,1.0,0.0,,
0,,0,0.2597,False,,0.0,1.0,,
1,,0,0.2597,False,,0.0,1.0,,
0,,0,0.23029999999999998,False,,1.0,1.0,,
1,,0,0.23029999999999998,False,,1.0,1.0,,
0,,1,0.27030000000000004,True,,0.0,0.0,,
1,,1,0.27030000000000004,True,,0.0,0.0,,
0,,1,0.2397,True,,1.0,0.0,,
1,,1,0.2397,True,,1.0,0.0,,
0,,1,0.2597,False,,0.0,1.0,,
1,,1,0.2597,False,,0.0,1.0,,
0,,1,0.23029999999999998,False,,1.0,1.0,,
1,,1,0.23029999999999998,False,,1.0,1.0,,
0,,0,0.4096,True,,,,0.0,0.0
1,,0,0.4096,False,,,,0.0,0.0
0,,0,0.2304,False,,,,1.0,0.0
1,,0,0.2304,True,,,,1.0,0.0
0,,0,0.2304,False,,,,0.0,1.0
1,,0,0.2304,False,,,,0.0,1.0
0,,0,0.1296,False,,,,1.0,1.0
1,,0,0.1296,False,,,,1.0,1.0
0,,1,0.4096,True,,,,0.0,0.0
1,,1,0.4096,False,,,,0.0,0.0
0,,1,0.2304,False,,,,1.0,0.0
1,,1,0.2304,True,,,,1.0,0.0
0,,1,0.2304,True,,,,0.0,1.0
1,,1,0.2304,False,,,,0.0,1.0
0,,1,0.1296,False,,,,1.0,1.0
1,,1,0.1296,False,,,,1.0,1.0
