S,6,T,prob,Connected,5
0,0.0,0,0.27,False,
1,0.0,0,0.27,False,
2,0.0,0,0.27,False,
3,0.0,0,0.27,False,
0,1.0,0,0.39,False,
1,1.0,0,0.39,False,
2,1.0,0,0.39,False,
3,1.0,0,0.39,False,
0,2.0,0,0.28,False,
1,2.0,0,0.28,True,
2,2.0,0,0.28,True,
3,2.0,0,0.28,False,
0,3.0,0,0.06,False,
1,3.0,0,0.06,False,
2,3.0,0,0.06,False,
3,3.0,0,0.06,False,
0,0.0,1,0.27,False,
1,0.0,1,0.27,False,
2,0.0,1,0.27,False,
3,0.0,1,0.27,False,
0,1.0,1,0.39,False,
1,1.0,1,0.39,False,
2,1.0,1,0.39,False,
3,1.0,1,0.39,False,
0,2.0,1,0.28,False,
1,2.0,1,0.28,True,
2,2.0,1,0.28,True,
3,2.0,1,0.28,False,
0,3.0,1,0.06,False,
1,3.0,1,0.06,False,
2,3.0,1,0.06,False,
3,3.0,1,0.06,False,
0,,0,0.26,False,0.0
1,,0,0.26,False,0.0
2,,0,0.26,False,0.0
3,,0,0.26,False,0.0
0,,0,0.27,False,1.0
1,,0,0.27,False,1.0
2,,0,0.27,False,1.0
3,,0,0.27,False,1.0
0,,0,0.31,False,2.0
1,,0,0.31,True,2.0
2,,0,0.31,True,2.0
3,,0,0.31,False,2.0
0,,0,0.16,False,3.0
1,,0,0.16,False,3.0
2,,0,0.16,False,3.0
3,,0,0.16,False,3.0
0,,1,0.26,False,0.0
1,,1,0.26,False,0.0
2,,1,0.26,False,0.0
3,,1,0.26,True,0.0
0,,1,0.27,False,1.0
1,,1,0.27,False,1.0
2,,1,0.27,False,1.0
3,,1,0.27,False,1.0
0,,1,0.31,False,2.0
1,,1,0.31,True,2.0
2,,1,0.31,True,2.0
3,,1,0.31,False,2.0
0,,1,0.16,True,3.0
1,,1,0.16,True,3.0
2,,1,0.16,True,3.0
3,,1,0.16,False,3.0
