S,29,T,prob,Connected,21,7,33,34,23,26,20,25,18,22,12,17,10,15,1,5
1,,1,0.2106,False,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.2806,False,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.2806,False,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.1794,False,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.1794,False,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.5159,False,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.5159,False,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.2541,False,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.2541,False,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.15410000000000001,False,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.15410000000000001,False,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.07590000000000001,False,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.07590000000000001,False,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.5159,False,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.5159,False,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.2541,False,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.2541,False,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.15410000000000001,False,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.15410000000000001,False,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.07590000000000001,False,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.07590000000000001,False,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.3952,False,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.3952,False,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.1248,False,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.1248,False,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.3648,False,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.3648,False,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.1152,False,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.1152,False,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.3952,False,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.3952,False,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.1248,False,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.1248,False,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.3648,False,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.3648,False,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.1152,False,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.1152,False,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.402,False,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.402,False,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.198,False,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.198,False,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.268,False,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.268,False,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.132,False,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.132,False,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.402,False,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.402,False,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.198,False,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.198,False,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.268,False,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.268,False,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.132,False,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.132,True,,,,,,,,,,,,,,,1.0,1.0
