V,Loc_max,Conn_Level,Connectivity,Running Time,,,,,
36,2,1,0.390031216,0.161442757,,,,,
36,2,1,0.88022656,0.186131239,,,,,
36,2,1,0.929917202,0.205737352,,,,,
36,2,1,0.848421765,0.158605099,,Nodes,Conn_Level,Connectivity,Running Time (mins)
36,2,1,0.70081976,0.19370389,,36,1,0.75,0.18
36,2,2,0.999974171,0.227882147,,36,2,0.98,0.19
36,2,2,0.910077372,0.17709589,,36,3,1,0.18
36,2,2,1,0.178035975,,36,4,1,0.19
36,2,2,1,0.165754795,,36,5,1,0.16
36,2,2,1,0.226091146,,36,6,1,0.22
36,2,3,1,0.153916836,,,,,
36,2,3,1,0.235141277,,,,,
36,2,3,1,0.219819069,,,,,
36,2,3,1,0.118937969,,,,,
36,2,3,1,0.185897112,,,,,
36,2,4,1,0.256636143,,,,,
36,2,4,1,0.220191002,,,,,
36,2,4,1,0.194982052,,,,,
36,2,4,0.998305225,0.128951073,,,,,
36,2,4,1,0.147189856,,,,,
36,2,5,1,0.206957102,,,,,
36,2,5,0.99848612,0.124718904,,,,,
36,2,5,1,0.232829094,,,,,
36,2,5,1,0.103044271,,,,,
36,2,5,1,0.155315161,,,,,
36,2,6,1,0.212982893,,,,,
36,2,6,1,0.254799128,,,,,
36,2,6,1,0.229921103,,,,,
36,2,6,1,0.200000048,,,,,
36,2,6,1,0.21303606,,,,,
