S,3,T,prob,Connected,4,6
0,0.0,0,0.16,False,,
1,0.0,0,0.16,False,,
2,0.0,0,0.16,False,,
3,0.0,0,0.16,False,,
4,0.0,0,0.16,False,,
0,1.0,0,0.2,True,,
1,1.0,0,0.2,True,,
2,1.0,0,0.2,True,,
3,1.0,0,0.2,False,,
4,1.0,0,0.2,True,,
0,2.0,0,0.17,True,,
1,2.0,0,0.17,False,,
2,2.0,0,0.17,True,,
3,2.0,0,0.17,True,,
4,2.0,0,0.17,False,,
0,3.0,0,0.47,False,,
1,3.0,0,0.47,False,,
2,3.0,0,0.47,True,,
3,3.0,0,0.47,False,,
4,3.0,0,0.47,True,,
0,0.0,1,0.16,False,,
1,0.0,1,0.16,False,,
2,0.0,1,0.16,False,,
3,0.0,1,0.16,False,,
4,0.0,1,0.16,False,,
0,1.0,1,0.2,False,,
1,1.0,1,0.2,False,,
2,1.0,1,0.2,False,,
3,1.0,1,0.2,False,,
4,1.0,1,0.2,False,,
0,2.0,1,0.17,True,,
1,2.0,1,0.17,False,,
2,2.0,1,0.17,True,,
3,2.0,1,0.17,True,,
4,2.0,1,0.17,False,,
0,3.0,1,0.47,False,,
1,3.0,1,0.47,False,,
2,3.0,1,0.47,True,,
3,3.0,1,0.47,False,,
4,3.0,1,0.47,True,,
0,0.0,2,0.16,False,,
1,0.0,2,0.16,False,,
2,0.0,2,0.16,True,,
3,0.0,2,0.16,True,,
4,0.0,2,0.16,True,,
0,1.0,2,0.2,True,,
1,1.0,2,0.2,True,,
2,1.0,2,0.2,True,,
3,1.0,2,0.2,False,,
4,1.0,2,0.2,True,,
0,2.0,2,0.17,False,,
1,2.0,2,0.17,False,,
2,2.0,2,0.17,False,,
3,2.0,2,0.17,False,,
4,2.0,2,0.17,False,,
0,3.0,2,0.47,False,,
1,3.0,2,0.47,False,,
2,3.0,2,0.47,True,,
3,3.0,2,0.47,False,,
4,3.0,2,0.47,True,,
0,0.0,3,0.16,False,,
1,0.0,3,0.16,False,,
2,0.0,3,0.16,True,,
3,0.0,3,0.16,True,,
4,0.0,3,0.16,True,,
0,1.0,3,0.2,True,,
1,1.0,3,0.2,True,,
2,1.0,3,0.2,True,,
3,1.0,3,0.2,False,,
4,1.0,3,0.2,True,,
0,2.0,3,0.17,True,,
1,2.0,3,0.17,False,,
2,2.0,3,0.17,True,,
3,2.0,3,0.17,True,,
4,2.0,3,0.17,False,,
0,3.0,3,0.47,False,,
1,3.0,3,0.47,False,,
2,3.0,3,0.47,False,,
3,3.0,3,0.47,False,,
4,3.0,3,0.47,False,,
0,0.0,4,0.16,False,,
1,0.0,4,0.16,False,,
