S,6,T,prob,Connected,5,3,1
0,0.0,0,0.71,True,,,
1,0.0,0,0.71,False,,,
0,1.0,0,0.29,False,,,
1,1.0,0,0.29,False,,,
0,0.0,1,0.71,True,,,
1,0.0,1,0.71,False,,,
0,1.0,1,0.29,False,,,
1,1.0,1,0.29,False,,,
0,,0,0.59,False,0.0,,
1,,0,0.59,False,0.0,,
0,,0,0.41,False,1.0,,
1,,0,0.41,False,1.0,,
0,,1,0.59,False,0.0,,
1,,1,0.59,False,0.0,,
0,,1,0.41,False,1.0,,
1,,1,0.41,False,1.0,,
0,,0,0.5,True,,0.0,
1,,0,0.5,True,,0.0,
0,,0,0.5,False,,1.0,
1,,0,0.5,False,,1.0,
0,,1,0.5,True,,0.0,
1,,1,0.5,True,,0.0,
0,,1,0.5,False,,1.0,
1,,1,0.5,False,,1.0,
0,,0,0.56,False,,,0.0
1,,0,0.56,False,,,0.0
0,,0,0.44,False,,,1.0
1,,0,0.44,True,,,1.0
0,,1,0.56,True,,,0.0
1,,1,0.56,False,,,0.0
0,,1,0.44,False,,,1.0
1,,1,0.44,True,,,1.0
