S,4,T,prob,Connected,3
0,0.0,0,0.32,True,
1,0.0,0,0.32,True,
2,0.0,0,0.32,True,
3,0.0,0,0.32,False,
0,1.0,0,0.2,True,
1,1.0,0,0.2,True,
2,1.0,0,0.2,True,
3,1.0,0,0.2,True,
0,2.0,0,0.48,True,
1,2.0,0,0.48,True,
2,2.0,0,0.48,False,
3,2.0,0,0.48,True,
0,0.0,1,0.32,True,
1,0.0,1,0.32,True,
2,0.0,1,0.32,True,
3,0.0,1,0.32,False,
0,1.0,1,0.2,True,
1,1.0,1,0.2,True,
2,1.0,1,0.2,True,
3,1.0,1,0.2,True,
0,2.0,1,0.48,False,
1,2.0,1,0.48,False,
2,2.0,1,0.48,False,
3,2.0,1,0.48,False,
0,0.0,2,0.32,True,
1,0.0,2,0.32,True,
2,0.0,2,0.32,True,
3,0.0,2,0.32,False,
0,1.0,2,0.2,True,
1,1.0,2,0.2,True,
2,1.0,2,0.2,True,
3,1.0,2,0.2,True,
0,2.0,2,0.48,True,
1,2.0,2,0.48,True,
2,2.0,2,0.48,False,
3,2.0,2,0.48,True,
0,0.0,3,0.32,True,
1,0.0,3,0.32,True,
2,0.0,3,0.32,True,
3,0.0,3,0.32,False,
0,1.0,3,0.2,False,
1,1.0,3,0.2,False,
2,1.0,3,0.2,False,
3,1.0,3,0.2,False,
0,2.0,3,0.48,True,
1,2.0,3,0.48,True,
2,2.0,3,0.48,False,
3,2.0,3,0.48,True,
0,,0,0.16,False,0.0
1,,0,0.16,False,0.0
2,,0,0.16,False,0.0
3,,0,0.16,False,0.0
0,,0,0.25,False,1.0
1,,0,0.25,True,1.0
2,,0,0.25,False,1.0
3,,0,0.25,False,1.0
0,,0,0.34,True,2.0
1,,0,0.34,True,2.0
2,,0,0.34,True,2.0
3,,0,0.34,False,2.0
0,,0,0.25,True,3.0
1,,0,0.25,False,3.0
2,,0,0.25,False,3.0
3,,0,0.25,True,3.0
0,,1,0.16,True,0.0
1,,1,0.16,False,0.0
2,,1,0.16,True,0.0
3,,1,0.16,False,0.0
0,,1,0.25,False,1.0
1,,1,0.25,True,1.0
2,,1,0.25,False,1.0
3,,1,0.25,False,1.0
0,,1,0.34,True,2.0
1,,1,0.34,True,2.0
2,,1,0.34,True,2.0
3,,1,0.34,False,2.0
0,,1,0.25,True,3.0
1,,1,0.25,False,3.0
2,,1,0.25,False,3.0
3,,1,0.25,True,3.0
0,,2,0.16,True,0.0
1,,2,0.16,False,0.0
2,,2,0.16,True,0.0
3,,2,0.16,False,0.0
0,,2,0.25,False,1.0
1,,2,0.25,True,1.0
2,,2,0.25,False,1.0
3,,2,0.25,False,1.0
0,,2,0.34,False,2.0
1,,2,0.34,False,2.0
2,,2,0.34,False,2.0
3,,2,0.34,False,2.0
0,,2,0.25,True,3.0
1,,2,0.25,False,3.0
2,,2,0.25,False,3.0
3,,2,0.25,True,3.0
0,,3,0.16,True,0.0
1,,3,0.16,False,0.0
2,,3,0.16,True,0.0
3,,3,0.16,False,0.0
0,,3,0.25,False,1.0
1,,3,0.25,False,1.0
2,,3,0.25,False,1.0
3,,3,0.25,False,1.0
0,,3,0.34,True,2.0
1,,3,0.34,True,2.0
2,,3,0.34,True,2.0
3,,3,0.34,False,2.0
0,,3,0.25,True,3.0
1,,3,0.25,False,3.0
2,,3,0.25,False,3.0
3,,3,0.25,True,3.0
