S,11,T,prob,Connected,8,4,1,6,9,3,7
0,0.0,0,0.61,False,,,,,,,
1,0.0,0,0.61,False,,,,,,,
0,1.0,0,0.39,False,,,,,,,
1,1.0,0,0.39,True,,,,,,,
0,0.0,1,0.61,True,,,,,,,
1,0.0,1,0.61,True,,,,,,,
0,1.0,1,0.39,False,,,,,,,
1,1.0,1,0.39,False,,,,,,,
0,,0,0.77,True,0.0,,,,,,
1,,0,0.77,False,0.0,,,,,,
0,,0,0.23,False,1.0,,,,,,
1,,0,0.23,True,1.0,,,,,,
0,,1,0.77,True,0.0,,,,,,
1,,1,0.77,False,0.0,,,,,,
0,,1,0.23,False,1.0,,,,,,
1,,1,0.23,True,1.0,,,,,,
0,,0,0.63,True,,0.0,,,,,
1,,0,0.63,False,,0.0,,,,,
0,,0,0.37,True,,1.0,,,,,
1,,0,0.37,True,,1.0,,,,,
0,,1,0.63,True,,0.0,,,,,
1,,1,0.63,False,,0.0,,,,,
0,,1,0.37,False,,1.0,,,,,
1,,1,0.37,False,,1.0,,,,,
0,,0,0.65,False,,,0.0,,,,
1,,0,0.65,False,,,0.0,,,,
0,,0,0.35,True,,,1.0,,,,
1,,0,0.35,False,,,1.0,,,,
0,,1,0.65,False,,,0.0,,,,
1,,1,0.65,False,,,0.0,,,,
0,,1,0.35,True,,,1.0,,,,
1,,1,0.35,False,,,1.0,,,,
0,,0,0.41609999999999997,True,,,,0.0,0.0,,
1,,0,0.41609999999999997,True,,,,0.0,0.0,,
0,,0,0.1539,False,,,,1.0,0.0,,
1,,0,0.1539,False,,,,1.0,0.0,,
0,,0,0.3139,False,,,,0.0,1.0,,
1,,0,0.3139,False,,,,0.0,1.0,,
0,,0,0.11610000000000001,False,,,,1.0,1.0,,
1,,0,0.11610000000000001,False,,,,1.0,1.0,,
0,,1,0.41609999999999997,True,,,,0.0,0.0,,
1,,1,0.41609999999999997,True,,,,0.0,0.0,,
0,,1,0.1539,False,,,,1.0,0.0,,
1,,1,0.1539,False,,,,1.0,0.0,,
0,,1,0.3139,True,,,,0.0,1.0,,
1,,1,0.3139,True,,,,0.0,1.0,,
0,,1,0.11610000000000001,False,,,,1.0,1.0,,
1,,1,0.11610000000000001,False,,,,1.0,1.0,,
0,,0,0.3726,True,,,,,,0.0,0.0
1,,0,0.3726,True,,,,,,0.0,0.0
0,,0,0.16740000000000002,False,,,,,,1.0,0.0
1,,0,0.16740000000000002,True,,,,,,1.0,0.0
0,,0,0.3174,True,,,,,,0.0,1.0
1,,0,0.3174,True,,,,,,0.0,1.0
0,,0,0.1426,False,,,,,,1.0,1.0
1,,0,0.1426,False,,,,,,1.0,1.0
0,,1,0.3726,False,,,,,,0.0,0.0
1,,1,0.3726,False,,,,,,0.0,0.0
0,,1,0.16740000000000002,False,,,,,,1.0,0.0
1,,1,0.16740000000000002,False,,,,,,1.0,0.0
0,,1,0.3174,True,,,,,,0.0,1.0
1,,1,0.3174,True,,,,,,0.0,1.0
0,,1,0.1426,False,,,,,,1.0,1.0
1,,1,0.1426,False,,,,,,1.0,1.0
