S,3,T,prob,Connected,2,6
0,0.0,0,0.17,False,,
1,0.0,0,0.17,False,,
2,0.0,0,0.17,False,,
3,0.0,0,0.17,False,,
4,0.0,0,0.17,False,,
0,1.0,0,0.2,False,,
1,1.0,0,0.2,False,,
2,1.0,0,0.2,False,,
3,1.0,0,0.2,False,,
4,1.0,0,0.2,False,,
0,2.0,0,0.1,False,,
1,2.0,0,0.1,True,,
2,2.0,0,0.1,False,,
3,2.0,0,0.1,False,,
4,2.0,0,0.1,True,,
0,3.0,0,0.16,True,,
1,3.0,0,0.16,False,,
2,3.0,0,0.16,False,,
3,3.0,0,0.16,False,,
4,3.0,0,0.16,True,,
0,4.0,0,0.37,False,,
1,4.0,0,0.37,False,,
2,4.0,0,0.37,False,,
3,4.0,0,0.37,False,,
4,4.0,0,0.37,False,,
0,0.0,1,0.17,True,,
1,0.0,1,0.17,False,,
2,0.0,1,0.17,True,,
3,0.0,1,0.17,False,,
4,0.0,1,0.17,True,,
0,1.0,1,0.2,False,,
1,1.0,1,0.2,False,,
2,1.0,1,0.2,False,,
3,1.0,1,0.2,False,,
4,1.0,1,0.2,False,,
0,2.0,1,0.1,False,,
1,2.0,1,0.1,True,,
2,2.0,1,0.1,False,,
3,2.0,1,0.1,False,,
4,2.0,1,0.1,True,,
0,3.0,1,0.16,True,,
1,3.0,1,0.16,False,,
2,3.0,1,0.16,False,,
3,3.0,1,0.16,False,,
4,3.0,1,0.16,True,,
0,4.0,1,0.37,False,,
1,4.0,1,0.37,True,,
2,4.0,1,0.37,True,,
3,4.0,1,0.37,True,,
4,4.0,1,0.37,False,,
0,0.0,2,0.17,False,,
1,0.0,2,0.17,False,,
2,0.0,2,0.17,False,,
3,0.0,2,0.17,False,,
4,0.0,2,0.17,False,,
0,1.0,2,0.2,False,,
1,1.0,2,0.2,False,,
2,1.0,2,0.2,False,,
3,1.0,2,0.2,False,,
4,1.0,2,0.2,False,,
0,2.0,2,0.1,False,,
1,2.0,2,0.1,False,,
2,2.0,2,0.1,False,,
3,2.0,2,0.1,False,,
4,2.0,2,0.1,False,,
0,3.0,2,0.16,False,,
1,3.0,2,0.16,False,,
2,3.0,2,0.16,False,,
3,3.0,2,0.16,False,,
4,3.0,2,0.16,False,,
0,4.0,2,0.37,False,,
1,4.0,2,0.37,True,,
2,4.0,2,0.37,True,,
3,4.0,2,0.37,True,,
4,4.0,2,0.37,False,,
0,0.0,3,0.17,False,,
1,0.0,3,0.17,False,,
2,0.0,3,0.17,False,,
3,0.0,3,0.17,False,,
4,0.0,3,0.17,False,,
0,1.0,3,0.2,False,,
1,1.0,3,0.2,False,,
2,1.0,3,0.2,False,,
3,1.0,3,0.2,False,,
4,1.0,3,0.2,False,,
0,2.0,3,0.1,False,,
1,2.0,3,0.1,True,,
2,2.0,3,0.1,False,,
3,2.0,3,0.1,False,,
4,2.0,3,0.1,True,,
0,3.0,3,0.16,False,,
1,3.0,3,0.16,False,,
2,3.0,3,0.16,False,,
3,3.0,3,0.16,False,,
4,3.0,3,0.16,False,,
0,4.0,3,0.37,False,,
1,4.0,3,0.37,True,,
2,4.0,3,0.37,True,,
3,4.0,3,0.37,True,,
4,4.0,3,0.37,False,,
0,0.0,4,0.17,False,,
1,0.0,4,0.17,False,,
2,0.0,4,0.17,False,,
3,0.0,4,0.17,False,,
4,0.0,4,0.17,False,,
0,1.0,4,0.2,False,,
1,1.0,4,0.2,False,,
2,1.0,4,0.2,False,,
3,1.0,4,0.2,False,,
4,1.0,4,0.2,False,,
0,2.0,4,0.1,False,,
1,2.0,4,0.1,True,,
2,2.0,4,0.1,False,,
3,2.0,4,0.1,False,,
4,2.0,4,0.1,True,,
0,3.0,4,0.16,False,,
1,3.0,4,0.16,False,,
2,3.0,4,0.16,False,,
3,3.0,4,0.16,False,,
4,3.0,4,0.16,False,,
0,4.0,4,0.37,False,,
1,4.0,4,0.37,True,,
2,4.0,4,0.37,True,,
3,4.0,4,0.37,True,,
4,4.0,4,0.37,False,,
0,,0,0.014000000000000002,False,0.0,0.0
1,,0,0.014000000000000002,False,0.0,0.0
2,,0,0.014000000000000002,False,0.0,0.0
3,,0,0.014000000000000002,False,0.0,0.0
4,,0,0.014000000000000002,False,0.0,0.0
0,,0,0.023800000000000005,False,1.0,0.0
1,,0,0.023800000000000005,False,1.0,0.0
2,,0,0.023800000000000005,False,1.0,0.0
3,,0,0.023800000000000005,False,1.0,0.0
4,,0,0.023800000000000005,False,1.0,0.0
0,,0,0.022400000000000003,False,2.0,0.0
1,,0,0.022400000000000003,False,2.0,0.0
2,,0,0.022400000000000003,False,2.0,0.0
3,,0,0.022400000000000003,False,2.0,0.0
4,,0,0.022400000000000003,False,2.0,0.0
0,,0,0.0252,False,3.0,0.0
1,,0,0.0252,False,3.0,0.0
2,,0,0.0252,False,3.0,0.0
3,,0,0.0252,False,3.0,0.0
4,,0,0.0252,False,3.0,0.0
0,,0,0.05460000000000001,False,4.0,0.0
1,,0,0.05460000000000001,False,4.0,0.0
2,,0,0.05460000000000001,False,4.0,0.0
3,,0,0.05460000000000001,False,4.0,0.0
4,,0,0.05460000000000001,False,4.0,0.0
0,,0,0.015,False,0.0,1.0
1,,0,0.015,False,0.0,1.0
2,,0,0.015,False,0.0,1.0
3,,0,0.015,False,0.0,1.0
4,,0,0.015,False,0.0,1.0
0,,0,0.025500000000000002,False,1.0,1.0
1,,0,0.025500000000000002,False,1.0,1.0
2,,0,0.025500000000000002,False,1.0,1.0
3,,0,0.025500000000000002,True,1.0,1.0
4,,0,0.025500000000000002,True,1.0,1.0
0,,0,0.024,False,2.0,1.0
1,,0,0.024,False,2.0,1.0
2,,0,0.024,False,2.0,1.0
3,,0,0.024,False,2.0,1.0
4,,0,0.024,False,2.0,1.0
0,,0,0.027,False,3.0,1.0
1,,0,0.027,False,3.0,1.0
2,,0,0.027,False,3.0,1.0
3,,0,0.027,False,3.0,1.0
4,,0,0.027,False,3.0,1.0
0,,0,0.058499999999999996,False,4.0,1.0
1,,0,0.058499999999999996,False,4.0,1.0
2,,0,0.058499999999999996,False,4.0,1.0
3,,0,0.058499999999999996,False,4.0,1.0
4,,0,0.058499999999999996,False,4.0,1.0
0,,0,0.020000000000000004,False,0.0,2.0
1,,0,0.020000000000000004,False,0.0,2.0
2,,0,0.020000000000000004,False,0.0,2.0
3,,0,0.020000000000000004,False,0.0,2.0
4,,0,0.020000000000000004,False,0.0,2.0
0,,0,0.034,False,1.0,2.0
1,,0,0.034,False,1.0,2.0
2,,0,0.034,False,1.0,2.0
3,,0,0.034,False,1.0,2.0
4,,0,0.034,False,1.0,2.0
0,,0,0.032,False,2.0,2.0
1,,0,0.032,False,2.0,2.0
2,,0,0.032,False,2.0,2.0
3,,0,0.032,False,2.0,2.0
4,,0,0.032,False,2.0,2.0
0,,0,0.036,False,3.0,2.0
1,,0,0.036,False,3.0,2.0
2,,0,0.036,False,3.0,2.0
3,,0,0.036,False,3.0,2.0
4,,0,0.036,False,3.0,2.0
0,,0,0.07800000000000001,False,4.0,2.0
1,,0,0.07800000000000001,False,4.0,2.0
2,,0,0.07800000000000001,False,4.0,2.0
3,,0,0.07800000000000001,False,4.0,2.0
4,,0,0.07800000000000001,False,4.0,2.0
0,,0,0.016,False,0.0,3.0
