S,33,34,T,prob,Connected,23,32,17,25,10,24,6,19,4,16,8,20,21,5,15,18,1,12,14
0,0.0,0.0,0,0.3132,False,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0,0.3132,True,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,0,0.2268,False,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,0,0.2268,False,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,0,0.2668,False,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,0,0.2668,True,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,0,0.1932,True,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,0,0.1932,True,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,1,0.3132,False,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,1,0.3132,True,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,1,0.2268,False,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,1,0.2268,False,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,1,0.2668,False,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,1,0.2668,True,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,1,0.1932,True,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,1,0.1932,True,,,,,,,,,,,,,,,,,,,
0,,,0,0.42089999999999994,False,0.0,0.0,,,,,,,,,,,,,,,,,
1,,,0,0.42089999999999994,True,0.0,0.0,,,,,,,,,,,,,,,,,
0,,,0,0.1891,False,1.0,0.0,,,,,,,,,,,,,,,,,
1,,,0,0.1891,False,1.0,0.0,,,,,,,,,,,,,,,,,
0,,,0,0.2691,False,0.0,1.0,,,,,,,,,,,,,,,,,
1,,,0,0.2691,False,0.0,1.0,,,,,,,,,,,,,,,,,
0,,,0,0.12090000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,
1,,,0,0.12090000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,
0,,,1,0.42089999999999994,False,0.0,0.0,,,,,,,,,,,,,,,,,
1,,,1,0.42089999999999994,True,0.0,0.0,,,,,,,,,,,,,,,,,
0,,,1,0.1891,False,1.0,0.0,,,,,,,,,,,,,,,,,
1,,,1,0.1891,False,1.0,0.0,,,,,,,,,,,,,,,,,
0,,,1,0.2691,False,0.0,1.0,,,,,,,,,,,,,,,,,
1,,,1,0.2691,True,0.0,1.0,,,,,,,,,,,,,,,,,
0,,,1,0.12090000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,
1,,,1,0.12090000000000001,True,1.0,1.0,,,,,,,,,,,,,,,,,
0,,,0,0.3366,True,,,0.0,0.0,,,,,,,,,,,,,,,
1,,,0,0.3366,True,,,0.0,0.0,,,,,,,,,,,,,,,
0,,,0,0.17340000000000003,False,,,1.0,0.0,,,,,,,,,,,,,,,
1,,,0,0.17340000000000003,True,,,1.0,0.0,,,,,,,,,,,,,,,
0,,,0,0.3234,True,,,0.0,1.0,,,,,,,,,,,,,,,
1,,,0,0.3234,True,,,0.0,1.0,,,,,,,,,,,,,,,
0,,,0,0.1666,False,,,1.0,1.0,,,,,,,,,,,,,,,
1,,,0,0.1666,True,,,1.0,1.0,,,,,,,,,,,,,,,
0,,,1,0.3366,True,,,0.0,0.0,,,,,,,,,,,,,,,
1,,,1,0.3366,True,,,0.0,0.0,,,,,,,,,,,,,,,
0,,,1,0.17340000000000003,False,,,1.0,0.0,,,,,,,,,,,,,,,
1,,,1,0.17340000000000003,True,,,1.0,0.0,,,,,,,,,,,,,,,
0,,,1,0.3234,True,,,0.0,1.0,,,,,,,,,,,,,,,
1,,,1,0.3234,True,,,0.0,1.0,,,,,,,,,,,,,,,
0,,,1,0.1666,False,,,1.0,1.0,,,,,,,,,,,,,,,
1,,,1,0.1666,True,,,1.0,1.0,,,,,,,,,,,,,,,
0,,,0,0.43520000000000003,True,,,,,0.0,0.0,,,,,,,,,,,,,
1,,,0,0.43520000000000003,True,,,,,0.0,0.0,,,,,,,,,,,,,
0,,,0,0.2048,True,,,,,1.0,0.0,,,,,,,,,,,,,
1,,,0,0.2048,True,,,,,1.0,0.0,,,,,,,,,,,,,
0,,,0,0.24480000000000002,True,,,,,0.0,1.0,,,,,,,,,,,,,
1,,,0,0.24480000000000002,True,,,,,0.0,1.0,,,,,,,,,,,,,
0,,,0,0.1152,True,,,,,1.0,1.0,,,,,,,,,,,,,
1,,,0,0.1152,True,,,,,1.0,1.0,,,,,,,,,,,,,
0,,,1,0.43520000000000003,True,,,,,0.0,0.0,,,,,,,,,,,,,
1,,,1,0.43520000000000003,True,,,,,0.0,0.0,,,,,,,,,,,,,
0,,,1,0.2048,True,,,,,1.0,0.0,,,,,,,,,,,,,
1,,,1,0.2048,True,,,,,1.0,0.0,,,,,,,,,,,,,
0,,,1,0.24480000000000002,True,,,,,0.0,1.0,,,,,,,,,,,,,
1,,,1,0.24480000000000002,True,,,,,0.0,1.0,,,,,,,,,,,,,
0,,,1,0.1152,True,,,,,1.0,1.0,,,,,,,,,,,,,
1,,,1,0.1152,True,,,,,1.0,1.0,,,,,,,,,,,,,
0,,,0,0.6006,True,,,,,,,0.0,0.0,,,,,,,,,,,
1,,,0,0.6006,False,,,,,,,0.0,0.0,,,,,,,,,,,
0,,,0,0.1794,True,,,,,,,1.0,0.0,,,,,,,,,,,
1,,,0,0.1794,True,,,,,,,1.0,0.0,,,,,,,,,,,
0,,,0,0.1694,False,,,,,,,0.0,1.0,,,,,,,,,,,
1,,,0,0.1694,False,,,,,,,0.0,1.0,,,,,,,,,,,
0,,,0,0.0506,True,,,,,,,1.0,1.0,,,,,,,,,,,
1,,,0,0.0506,True,,,,,,,1.0,1.0,,,,,,,,,,,
0,,,1,0.6006,False,,,,,,,0.0,0.0,,,,,,,,,,,
1,,,1,0.6006,False,,,,,,,0.0,0.0,,,,,,,,,,,
0,,,1,0.1794,False,,,,,,,1.0,0.0,,,,,,,,,,,
1,,,1,0.1794,False,,,,,,,1.0,0.0,,,,,,,,,,,
0,,,1,0.1694,False,,,,,,,0.0,1.0,,,,,,,,,,,
1,,,1,0.1694,False,,,,,,,0.0,1.0,,,,,,,,,,,
0,,,1,0.0506,False,,,,,,,1.0,1.0,,,,,,,,,,,
1,,,1,0.0506,False,,,,,,,1.0,1.0,,,,,,,,,,,
0,,,0,0.4788,False,,,,,,,,,0.0,0.0,,,,,,,,,
1,,,0,0.4788,False,,,,,,,,,0.0,0.0,,,,,,,,,
0,,,0,0.1512,False,,,,,,,,,1.0,0.0,,,,,,,,,
1,,,0,0.1512,False,,,,,,,,,1.0,0.0,,,,,,,,,
0,,,0,0.2812,True,,,,,,,,,0.0,1.0,,,,,,,,,
1,,,0,0.2812,False,,,,,,,,,0.0,1.0,,,,,,,,,
0,,,0,0.08879999999999999,False,,,,,,,,,1.0,1.0,,,,,,,,,
1,,,0,0.08879999999999999,True,,,,,,,,,1.0,1.0,,,,,,,,,
0,,,1,0.4788,True,,,,,,,,,0.0,0.0,,,,,,,,,
1,,,1,0.4788,False,,,,,,,,,0.0,0.0,,,,,,,,,
0,,,1,0.1512,False,,,,,,,,,1.0,0.0,,,,,,,,,
1,,,1,0.1512,True,,,,,,,,,1.0,0.0,,,,,,,,,
0,,,1,0.2812,True,,,,,,,,,0.0,1.0,,,,,,,,,
1,,,1,0.2812,False,,,,,,,,,0.0,1.0,,,,,,,,,
0,,,1,0.08879999999999999,False,,,,,,,,,1.0,1.0,,,,,,,,,
1,,,1,0.08879999999999999,True,,,,,,,,,1.0,1.0,,,,,,,,,
0,,,0,0.33726,False,,,,,,,,,,,0.0,0.0,0.0,,,,,,
1,,,0,0.33726,False,,,,,,,,,,,0.0,0.0,0.0,,,,,,
0,,,0,0.12474,False,,,,,,,,,,,1.0,0.0,0.0,,,,,,
1,,,0,0.12474,False,,,,,,,,,,,1.0,0.0,0.0,,,,,,
0,,,0,0.17374,False,,,,,,,,,,,0.0,1.0,0.0,,,,,,
1,,,0,0.17374,False,,,,,,,,,,,0.0,1.0,0.0,,,,,,
0,,,0,0.06426,False,,,,,,,,,,,1.0,1.0,0.0,,,,,,
1,,,0,0.06426,False,,,,,,,,,,,1.0,1.0,0.0,,,,,,
0,,,0,0.14454,False,,,,,,,,,,,0.0,0.0,1.0,,,,,,
1,,,0,0.14454,False,,,,,,,,,,,0.0,0.0,1.0,,,,,,
0,,,0,0.05346000000000001,False,,,,,,,,,,,1.0,0.0,1.0,,,,,,
1,,,0,0.05346000000000001,False,,,,,,,,,,,1.0,0.0,1.0,,,,,,
0,,,0,0.07446,False,,,,,,,,,,,0.0,1.0,1.0,,,,,,
1,,,0,0.07446,False,,,,,,,,,,,0.0,1.0,1.0,,,,,,
0,,,0,0.027540000000000002,False,,,,,,,,,,,1.0,1.0,1.0,,,,,,
1,,,0,0.027540000000000002,False,,,,,,,,,,,1.0,1.0,1.0,,,,,,
0,,,1,0.33726,False,,,,,,,,,,,0.0,0.0,0.0,,,,,,
1,,,1,0.33726,False,,,,,,,,,,,0.0,0.0,0.0,,,,,,
0,,,1,0.12474,False,,,,,,,,,,,1.0,0.0,0.0,,,,,,
1,,,1,0.12474,False,,,,,,,,,,,1.0,0.0,0.0,,,,,,
0,,,1,0.17374,False,,,,,,,,,,,0.0,1.0,0.0,,,,,,
1,,,1,0.17374,False,,,,,,,,,,,0.0,1.0,0.0,,,,,,
0,,,1,0.06426,False,,,,,,,,,,,1.0,1.0,0.0,,,,,,
1,,,1,0.06426,False,,,,,,,,,,,1.0,1.0,0.0,,,,,,
0,,,1,0.14454,False,,,,,,,,,,,0.0,0.0,1.0,,,,,,
1,,,1,0.14454,False,,,,,,,,,,,0.0,0.0,1.0,,,,,,
0,,,1,0.05346000000000001,False,,,,,,,,,,,1.0,0.0,1.0,,,,,,
1,,,1,0.05346000000000001,False,,,,,,,,,,,1.0,0.0,1.0,,,,,,
0,,,1,0.07446,False,,,,,,,,,,,0.0,1.0,1.0,,,,,,
1,,,1,0.07446,False,,,,,,,,,,,0.0,1.0,1.0,,,,,,
0,,,1,0.027540000000000002,False,,,,,,,,,,,1.0,1.0,1.0,,,,,,
1,,,1,0.027540000000000002,False,,,,,,,,,,,1.0,1.0,1.0,,,,,,
0,,,0,0.293248,False,,,,,,,,,,,,,,0.0,0.0,0.0,,,
1,,,0,0.293248,False,,,,,,,,,,,,,,0.0,0.0,0.0,,,
0,,,0,0.164952,False,,,,,,,,,,,,,,1.0,0.0,0.0,,,
1,,,0,0.164952,False,,,,,,,,,,,,,,1.0,0.0,0.0,,,
0,,,0,0.21235199999999999,False,,,,,,,,,,,,,,0.0,1.0,0.0,,,
1,,,0,0.21235199999999999,False,,,,,,,,,,,,,,0.0,1.0,0.0,,,
