S,7,T,prob,Connected,9,11,4,6
0,0.0,0,0.55,False,,,,
1,0.0,0,0.55,True,,,,
0,1.0,0,0.45,True,,,,
1,1.0,0,0.45,False,,,,
0,0.0,1,0.55,False,,,,
1,0.0,1,0.55,False,,,,
0,1.0,1,0.45,False,,,,
1,1.0,1,0.45,False,,,,
0,,0,0.392,False,0.0,0.0,,
1,,0,0.392,True,0.0,0.0,,
0,,0,0.168,True,1.0,0.0,,
1,,0,0.168,True,1.0,0.0,,
0,,0,0.308,False,0.0,1.0,,
1,,0,0.308,False,0.0,1.0,,
0,,0,0.132,False,1.0,1.0,,
1,,0,0.132,False,1.0,1.0,,
0,,1,0.392,False,0.0,0.0,,
1,,1,0.392,True,0.0,0.0,,
0,,1,0.168,True,1.0,0.0,,
1,,1,0.168,True,1.0,0.0,,
0,,1,0.308,False,0.0,1.0,,
1,,1,0.308,False,0.0,1.0,,
0,,1,0.132,False,1.0,1.0,,
1,,1,0.132,False,1.0,1.0,,
0,,0,0.49770000000000003,True,,,0.0,0.0
1,,0,0.49770000000000003,True,,,0.0,0.0
0,,0,0.1323,False,,,1.0,0.0
1,,0,0.1323,False,,,1.0,0.0
0,,0,0.2923,False,,,0.0,1.0
1,,0,0.2923,False,,,0.0,1.0
0,,0,0.07769999999999999,False,,,1.0,1.0
1,,0,0.07769999999999999,False,,,1.0,1.0
0,,1,0.49770000000000003,True,,,0.0,0.0
1,,1,0.49770000000000003,True,,,0.0,0.0
0,,1,0.1323,False,,,1.0,0.0
1,,1,0.1323,False,,,1.0,0.0
0,,1,0.2923,False,,,0.0,1.0
1,,1,0.2923,False,,,0.0,1.0
0,,1,0.07769999999999999,False,,,1.0,1.0
1,,1,0.07769999999999999,False,,,1.0,1.0
