S,48,T,prob,Connected,47,45,41,40,42,38,39,33,36,32,35,31,34,23,29,19,20,17,18,11,14,3,10,2,7,8,12,13
0,0.0,0,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.38,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.38,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.62,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.38,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.38,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.3,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.21,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.49,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.16,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.16,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.16,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.16,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.27,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.57,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.16,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
