S,3,T,prob,Connected,2,6,1,5
0,0.0,0,0.59,True,,,,
1,0.0,0,0.59,True,,,,
0,1.0,0,0.41,True,,,,
1,1.0,0,0.41,False,,,,
0,0.0,1,0.59,True,,,,
1,0.0,1,0.59,True,,,,
0,1.0,1,0.41,False,,,,
1,1.0,1,0.41,False,,,,
0,,0,0.54,True,0.0,0.0,,
1,,0,0.54,True,0.0,0.0,,
0,,0,0.18,True,1.0,0.0,,
1,,0,0.18,True,1.0,0.0,,
0,,0,0.21000000000000002,True,0.0,1.0,,
1,,0,0.21000000000000002,True,0.0,1.0,,
0,,0,0.07,True,1.0,1.0,,
1,,0,0.07,True,1.0,1.0,,
0,,1,0.54,True,0.0,0.0,,
1,,1,0.54,True,0.0,0.0,,
0,,1,0.18,True,1.0,0.0,,
1,,1,0.18,True,1.0,0.0,,
0,,1,0.21000000000000002,True,0.0,1.0,,
1,,1,0.21000000000000002,True,0.0,1.0,,
0,,1,0.07,True,1.0,1.0,,
1,,1,0.07,True,1.0,1.0,,
0,,0,0.45599999999999996,True,,,0.0,0.0
1,,0,0.45599999999999996,True,,,0.0,0.0
0,,0,0.34400000000000003,True,,,1.0,0.0
1,,0,0.34400000000000003,True,,,1.0,0.0
0,,0,0.11399999999999999,False,,,0.0,1.0
1,,0,0.11399999999999999,False,,,0.0,1.0
0,,0,0.08600000000000001,True,,,1.0,1.0
1,,0,0.08600000000000001,True,,,1.0,1.0
0,,1,0.45599999999999996,False,,,0.0,0.0
1,,1,0.45599999999999996,False,,,0.0,0.0
0,,1,0.34400000000000003,False,,,1.0,0.0
1,,1,0.34400000000000003,False,,,1.0,0.0
0,,1,0.11399999999999999,False,,,0.0,1.0
1,,1,0.11399999999999999,False,,,0.0,1.0
0,,1,0.08600000000000001,True,,,1.0,1.0
1,,1,0.08600000000000001,True,,,1.0,1.0
