S,38,T,prob,Connected,36,31,19,17,16,3,1,43,45,40,41,30,37,28,35,24,34,22,33,13,29,10,27,8,26,6,25,5,23
0,0.0,0,0.58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.58,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.58,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.58,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.58,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.24,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.24,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.24,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.54,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.24,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.24,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.24,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.22,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.32,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.32,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.32,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.53,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.53,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.53,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.15,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.15,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.15,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.32,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.32,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.32,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.53,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.53,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.53,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.15,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.15,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.15,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.45,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.52,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.52,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.52,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.03,False,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,True,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.03,True,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.45,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.52,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.52,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.52,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.03,False,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.03,False,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.03,False,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.39,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.39,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.39,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.17,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.17,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.17,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.44,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.39,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.39,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.39,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.17,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.17,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.17,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.4,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.6,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.6,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.6,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.4,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.6,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.6,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.6,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.27,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.33,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.4,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.27,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.33,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.4,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.4,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.4,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.64,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.64,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.64,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.64,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.64,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.64,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.36,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.0768,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.0768,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.0768,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1152,False,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1152,False,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1152,True,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.06,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.06,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.06,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.17200000000000001,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.17200000000000001,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.17200000000000001,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1548,False,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1548,False,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1548,False,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.128,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.0768,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.0768,False,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.0768,True,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1152,False,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1152,False,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1152,True,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1,False,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1,True,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.06,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.06,False,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.06,True,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.09,False,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.17200000000000001,False,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.17200000000000001,True,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.17200000000000001,True,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1032,False,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1548,False,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1548,False,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1548,True,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.21760000000000002,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.21760000000000002,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.21760000000000002,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.3136,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.3136,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.3136,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
