S,5,6,T,prob,Connected,2,4
0,0.0,0.0,0,0.019000000000000003,False,,
1,0.0,0.0,0,0.019000000000000003,True,,
2,0.0,0.0,0,0.019000000000000003,True,,
3,0.0,0.0,0,0.019000000000000003,True,,
4,0.0,0.0,0,0.019000000000000003,True,,
0,1.0,0.0,0,0.019000000000000003,True,,
1,1.0,0.0,0,0.019000000000000003,False,,
2,1.0,0.0,0,0.019000000000000003,True,,
3,1.0,0.0,0,0.019000000000000003,False,,
4,1.0,0.0,0,0.019000000000000003,False,,
0,2.0,0.0,0,0.0342,False,,
1,2.0,0.0,0,0.0342,False,,
2,2.0,0.0,0,0.0342,True,,
3,2.0,0.0,0,0.0342,True,,
4,2.0,0.0,0,0.0342,False,,
0,3.0,0.0,0,0.028499999999999998,True,,
1,3.0,0.0,0,0.028499999999999998,True,,
2,3.0,0.0,0,0.028499999999999998,False,,
3,3.0,0.0,0,0.028499999999999998,False,,
4,3.0,0.0,0,0.028499999999999998,False,,
0,4.0,0.0,0,0.08929999999999999,False,,
1,4.0,0.0,0,0.08929999999999999,False,,
2,4.0,0.0,0,0.08929999999999999,False,,
3,4.0,0.0,0,0.08929999999999999,False,,
4,4.0,0.0,0,0.08929999999999999,False,,
0,0.0,1.0,0,0.015,False,,
1,0.0,1.0,0,0.015,True,,
2,0.0,1.0,0,0.015,True,,
3,0.0,1.0,0,0.015,True,,
4,0.0,1.0,0,0.015,True,,
0,1.0,1.0,0,0.015,True,,
1,1.0,1.0,0,0.015,False,,
2,1.0,1.0,0,0.015,True,,
3,1.0,1.0,0,0.015,False,,
4,1.0,1.0,0,0.015,False,,
0,2.0,1.0,0,0.027,False,,
1,2.0,1.0,0,0.027,False,,
2,2.0,1.0,0,0.027,False,,
3,2.0,1.0,0,0.027,False,,
4,2.0,1.0,0,0.027,False,,
0,3.0,1.0,0,0.0225,True,,
1,3.0,1.0,0,0.0225,True,,
2,3.0,1.0,0,0.0225,False,,
3,3.0,1.0,0,0.0225,False,,
4,3.0,1.0,0,0.0225,False,,
0,4.0,1.0,0,0.0705,True,,
1,4.0,1.0,0,0.0705,True,,
2,4.0,1.0,0,0.0705,True,,
3,4.0,1.0,0,0.0705,False,,
4,4.0,1.0,0,0.0705,True,,
0,0.0,2.0,0,0.017,False,,
1,0.0,2.0,0,0.017,False,,
2,0.0,2.0,0,0.017,False,,
3,0.0,2.0,0,0.017,False,,
4,0.0,2.0,0,0.017,False,,
0,1.0,2.0,0,0.017,False,,
1,1.0,2.0,0,0.017,False,,
2,1.0,2.0,0,0.017,False,,
3,1.0,2.0,0,0.017,False,,
4,1.0,2.0,0,0.017,False,,
0,2.0,2.0,0,0.030600000000000002,False,,
1,2.0,2.0,0,0.030600000000000002,False,,
2,2.0,2.0,0,0.030600000000000002,False,,
3,2.0,2.0,0,0.030600000000000002,False,,
4,2.0,2.0,0,0.030600000000000002,False,,
0,3.0,2.0,0,0.025500000000000002,False,,
1,3.0,2.0,0,0.025500000000000002,False,,
2,3.0,2.0,0,0.025500000000000002,False,,
3,3.0,2.0,0,0.025500000000000002,False,,
4,3.0,2.0,0,0.025500000000000002,False,,
0,4.0,2.0,0,0.0799,False,,
1,4.0,2.0,0,0.0799,False,,
2,4.0,2.0,0,0.0799,False,,
3,4.0,2.0,0,0.0799,False,,
4,4.0,2.0,0,0.0799,False,,
0,0.0,3.0,0,0.019000000000000003,False,,
1,0.0,3.0,0,0.019000000000000003,True,,
2,0.0,3.0,0,0.019000000000000003,True,,
3,0.0,3.0,0,0.019000000000000003,True,,
4,0.0,3.0,0,0.019000000000000003,True,,
0,1.0,3.0,0,0.019000000000000003,False,,
1,1.0,3.0,0,0.019000000000000003,False,,
2,1.0,3.0,0,0.019000000000000003,False,,
3,1.0,3.0,0,0.019000000000000003,False,,
4,1.0,3.0,0,0.019000000000000003,False,,
0,2.0,3.0,0,0.0342,False,,
1,2.0,3.0,0,0.0342,False,,
2,2.0,3.0,0,0.0342,True,,
3,2.0,3.0,0,0.0342,True,,
4,2.0,3.0,0,0.0342,False,,
0,3.0,3.0,0,0.028499999999999998,True,,
1,3.0,3.0,0,0.028499999999999998,True,,
2,3.0,3.0,0,0.028499999999999998,False,,
3,3.0,3.0,0,0.028499999999999998,False,,
4,3.0,3.0,0,0.028499999999999998,False,,
0,4.0,3.0,0,0.08929999999999999,True,,
1,4.0,3.0,0,0.08929999999999999,True,,
2,4.0,3.0,0,0.08929999999999999,True,,
3,4.0,3.0,0,0.08929999999999999,False,,
4,4.0,3.0,0,0.08929999999999999,True,,
0,0.0,4.0,0,0.03,False,,
1,0.0,4.0,0,0.03,False,,
2,0.0,4.0,0,0.03,False,,
3,0.0,4.0,0,0.03,False,,
4,0.0,4.0,0,0.03,False,,
0,1.0,4.0,0,0.03,False,,
1,1.0,4.0,0,0.03,False,,
2,1.0,4.0,0,0.03,False,,
3,1.0,4.0,0,0.03,False,,
4,1.0,4.0,0,0.03,False,,
0,2.0,4.0,0,0.054,False,,
1,2.0,4.0,0,0.054,False,,
2,2.0,4.0,0,0.054,False,,
3,2.0,4.0,0,0.054,False,,
4,2.0,4.0,0,0.054,False,,
0,3.0,4.0,0,0.045,False,,
1,3.0,4.0,0,0.045,False,,
2,3.0,4.0,0,0.045,False,,
3,3.0,4.0,0,0.045,False,,
4,3.0,4.0,0,0.045,False,,
0,4.0,4.0,0,0.141,False,,
1,4.0,4.0,0,0.141,False,,
2,4.0,4.0,0,0.141,False,,
3,4.0,4.0,0,0.141,False,,
4,4.0,4.0,0,0.141,False,,
0,0.0,0.0,1,0.019000000000000003,False,,
1,0.0,0.0,1,0.019000000000000003,False,,
2,0.0,0.0,1,0.019000000000000003,False,,
3,0.0,0.0,1,0.019000000000000003,False,,
4,0.0,0.0,1,0.019000000000000003,False,,
0,1.0,0.0,1,0.019000000000000003,False,,
1,1.0,0.0,1,0.019000000000000003,False,,
2,1.0,0.0,1,0.019000000000000003,False,,
3,1.0,0.0,1,0.019000000000000003,False,,
4,1.0,0.0,1,0.019000000000000003,False,,
0,2.0,0.0,1,0.0342,False,,
1,2.0,0.0,1,0.0342,False,,
2,2.0,0.0,1,0.0342,False,,
