S,3,T,prob,Connected,2,1,4,5
0,0.0,0,0.43,True,,,,
1,0.0,0,0.43,True,,,,
2,0.0,0,0.43,False,,,,
0,1.0,0,0.32,True,,,,
1,1.0,0,0.32,True,,,,
2,1.0,0,0.32,False,,,,
0,2.0,0,0.25,True,,,,
1,2.0,0,0.25,False,,,,
2,2.0,0,0.25,True,,,,
0,0.0,1,0.43,True,,,,
1,0.0,1,0.43,True,,,,
2,0.0,1,0.43,False,,,,
0,1.0,1,0.32,True,,,,
1,1.0,1,0.32,True,,,,
2,1.0,1,0.32,False,,,,
0,2.0,1,0.25,True,,,,
1,2.0,1,0.25,False,,,,
2,2.0,1,0.25,True,,,,
0,0.0,2,0.43,True,,,,
1,0.0,2,0.43,True,,,,
2,0.0,2,0.43,False,,,,
0,1.0,2,0.32,True,,,,
1,1.0,2,0.32,True,,,,
2,1.0,2,0.32,False,,,,
0,2.0,2,0.25,True,,,,
1,2.0,2,0.25,False,,,,
2,2.0,2,0.25,True,,,,
0,,0,0.24,False,0.0,,,
1,,0,0.24,False,0.0,,,
2,,0,0.24,False,0.0,,,
0,,0,0.25,True,1.0,,,
1,,0,0.25,True,1.0,,,
2,,0,0.25,True,1.0,,,
0,,0,0.51,True,2.0,,,
1,,0,0.51,True,2.0,,,
2,,0,0.51,True,2.0,,,
0,,1,0.24,False,0.0,,,
1,,1,0.24,False,0.0,,,
2,,1,0.24,False,0.0,,,
0,,1,0.25,True,1.0,,,
1,,1,0.25,True,1.0,,,
2,,1,0.25,True,1.0,,,
0,,1,0.51,True,2.0,,,
1,,1,0.51,True,2.0,,,
2,,1,0.51,True,2.0,,,
0,,2,0.24,True,0.0,,,
1,,2,0.24,True,0.0,,,
2,,2,0.24,True,0.0,,,
0,,2,0.25,False,1.0,,,
1,,2,0.25,False,1.0,,,
2,,2,0.25,False,1.0,,,
0,,2,0.51,True,2.0,,,
1,,2,0.51,True,2.0,,,
2,,2,0.51,True,2.0,,,
0,,0,0.64,False,,0.0,,
1,,0,0.64,False,,0.0,,
2,,0,0.64,False,,0.0,,
0,,0,0.26,True,,1.0,,
1,,0,0.26,True,,1.0,,
2,,0,0.26,True,,1.0,,
0,,0,0.1,True,,2.0,,
1,,0,0.1,True,,2.0,,
2,,0,0.1,False,,2.0,,
0,,1,0.64,True,,0.0,,
1,,1,0.64,True,,0.0,,
2,,1,0.64,True,,0.0,,
0,,1,0.26,True,,1.0,,
1,,1,0.26,True,,1.0,,
2,,1,0.26,True,,1.0,,
0,,1,0.1,True,,2.0,,
1,,1,0.1,True,,2.0,,
2,,1,0.1,False,,2.0,,
0,,2,0.64,True,,0.0,,
1,,2,0.64,True,,0.0,,
2,,2,0.64,True,,0.0,,
0,,2,0.26,True,,1.0,,
1,,2,0.26,True,,1.0,,
2,,2,0.26,True,,1.0,,
0,,2,0.1,True,,2.0,,
1,,2,0.1,True,,2.0,,
2,,2,0.1,False,,2.0,,
0,,0,0.1598,True,,,0.0,0.0
1,,0,0.1598,False,,,0.0,0.0
2,,0,0.1598,True,,,0.0,0.0
0,,0,0.18020000000000003,False,,,1.0,0.0
1,,0,0.18020000000000003,False,,,1.0,0.0
2,,0,0.18020000000000003,True,,,1.0,0.0
0,,0,0.1833,False,,,0.0,1.0
1,,0,0.1833,False,,,0.0,1.0
2,,0,0.1833,False,,,0.0,1.0
0,,0,0.20670000000000002,False,,,1.0,1.0
1,,0,0.20670000000000002,False,,,1.0,1.0
2,,0,0.20670000000000002,False,,,1.0,1.0
0,,0,0.1269,False,,,0.0,2.0
1,,0,0.1269,False,,,0.0,2.0
2,,0,0.1269,False,,,0.0,2.0
0,,0,0.1431,False,,,1.0,2.0
1,,0,0.1431,False,,,1.0,2.0
2,,0,0.1431,False,,,1.0,2.0
0,,1,0.1598,True,,,0.0,0.0
1,,1,0.1598,False,,,0.0,0.0
2,,1,0.1598,True,,,0.0,0.0
0,,1,0.18020000000000003,False,,,1.0,0.0
1,,1,0.18020000000000003,False,,,1.0,0.0
2,,1,0.18020000000000003,True,,,1.0,0.0
0,,1,0.1833,False,,,0.0,1.0
1,,1,0.1833,False,,,0.0,1.0
2,,1,0.1833,False,,,0.0,1.0
0,,1,0.20670000000000002,False,,,1.0,1.0
1,,1,0.20670000000000002,False,,,1.0,1.0
2,,1,0.20670000000000002,True,,,1.0,1.0
0,,1,0.1269,True,,,0.0,2.0
1,,1,0.1269,False,,,0.0,2.0
2,,1,0.1269,True,,,0.0,2.0
0,,1,0.1431,False,,,1.0,2.0
1,,1,0.1431,False,,,1.0,2.0
2,,1,0.1431,False,,,1.0,2.0
0,,2,0.1598,True,,,0.0,0.0
1,,2,0.1598,False,,,0.0,0.0
2,,2,0.1598,True,,,0.0,0.0
0,,2,0.18020000000000003,False,,,1.0,0.0
1,,2,0.18020000000000003,False,,,1.0,0.0
2,,2,0.18020000000000003,True,,,1.0,0.0
0,,2,0.1833,False,,,0.0,1.0
1,,2,0.1833,False,,,0.0,1.0
2,,2,0.1833,False,,,0.0,1.0
0,,2,0.20670000000000002,False,,,1.0,1.0
1,,2,0.20670000000000002,False,,,1.0,1.0
2,,2,0.20670000000000002,True,,,1.0,1.0
0,,2,0.1269,True,,,0.0,2.0
1,,2,0.1269,False,,,0.0,2.0
2,,2,0.1269,True,,,0.0,2.0
0,,2,0.1431,False,,,1.0,2.0
1,,2,0.1431,False,,,1.0,2.0
2,,2,0.1431,False,,,1.0,2.0
