S,6,8,T,prob,Connected,3,9,1,7
0,0.0,0.0,0,0.4788,True,,,,
1,0.0,0.0,0,0.4788,False,,,,
0,1.0,0.0,0,0.2812,False,,,,
1,1.0,0.0,0,0.2812,True,,,,
0,0.0,1.0,0,0.1512,False,,,,
1,0.0,1.0,0,0.1512,False,,,,
0,1.0,1.0,0,0.08879999999999999,False,,,,
1,1.0,1.0,0,0.08879999999999999,False,,,,
0,0.0,0.0,1,0.4788,False,,,,
1,0.0,0.0,1,0.4788,False,,,,
0,1.0,0.0,1,0.2812,False,,,,
1,1.0,0.0,1,0.2812,False,,,,
0,0.0,1.0,1,0.1512,False,,,,
1,0.0,1.0,1,0.1512,False,,,,
0,1.0,1.0,1,0.08879999999999999,False,,,,
1,1.0,1.0,1,0.08879999999999999,False,,,,
0,,,0,0.43200000000000005,False,0.0,0.0,,
1,,,0,0.43200000000000005,True,0.0,0.0,,
0,,,0,0.10800000000000001,True,1.0,0.0,,
1,,,0,0.10800000000000001,True,1.0,0.0,,
0,,,0,0.36800000000000005,False,0.0,1.0,,
1,,,0,0.36800000000000005,True,0.0,1.0,,
0,,,0,0.09200000000000001,True,1.0,1.0,,
1,,,0,0.09200000000000001,True,1.0,1.0,,
0,,,1,0.43200000000000005,False,0.0,0.0,,
1,,,1,0.43200000000000005,True,0.0,0.0,,
0,,,1,0.10800000000000001,True,1.0,0.0,,
1,,,1,0.10800000000000001,True,1.0,0.0,,
0,,,1,0.36800000000000005,False,0.0,1.0,,
1,,,1,0.36800000000000005,True,0.0,1.0,,
0,,,1,0.09200000000000001,True,1.0,1.0,,
1,,,1,0.09200000000000001,True,1.0,1.0,,
0,,,0,0.4752,False,,,0.0,0.0
1,,,0,0.4752,False,,,0.0,0.0
0,,,0,0.24480000000000002,False,,,1.0,0.0
1,,,0,0.24480000000000002,True,,,1.0,0.0
0,,,0,0.18480000000000002,False,,,0.0,1.0
1,,,0,0.18480000000000002,False,,,0.0,1.0
0,,,0,0.09520000000000002,False,,,1.0,1.0
1,,,0,0.09520000000000002,False,,,1.0,1.0
0,,,1,0.4752,False,,,0.0,0.0
1,,,1,0.4752,False,,,0.0,0.0
0,,,1,0.24480000000000002,False,,,1.0,0.0
1,,,1,0.24480000000000002,True,,,1.0,0.0
0,,,1,0.18480000000000002,False,,,0.0,1.0
1,,,1,0.18480000000000002,False,,,0.0,1.0
0,,,1,0.09520000000000002,False,,,1.0,1.0
1,,,1,0.09520000000000002,True,,,1.0,1.0
