S,48,T,prob,Connected,40,33,31,30,29,24,3,39,46,37,47,23,38,21,35,20,34,18,32,17,27
0,0.0,0,0.55,True,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.55,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.43,True,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.43,True,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.02,True,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.02,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.55,True,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.55,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.43,True,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.43,True,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.02,True,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.02,False,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.55,True,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.55,False,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.43,True,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.43,True,,,,,,,,,,,,,,,,,,,,,
0,2.0,2,0.02,True,,,,,,,,,,,,,,,,,,,,,
1,2.0,2,0.02,False,,,,,,,,,,,,,,,,,,,,,
0,,0,0.58,True,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.58,False,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,True,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.58,False,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.58,False,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,False,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,False,1.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.58,False,0.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.58,False,0.0,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,True,1.0,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,True,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.61,True,,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.61,False,,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.39,True,,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.39,True,,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.61,True,,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.61,False,,0.0,,,,,,,,,,,,,,,,,,,
