S,11,T,prob,Connected,2,6,12,3,8,1,5
0,0.0,0,0.55,False,,,,,,,
1,0.0,0,0.55,False,,,,,,,
0,1.0,0,0.45,False,,,,,,,
1,1.0,0,0.45,False,,,,,,,
0,0.0,1,0.55,False,,,,,,,
1,0.0,1,0.55,True,,,,,,,
0,1.0,1,0.45,False,,,,,,,
1,1.0,1,0.45,False,,,,,,,
0,,0,0.8,False,0.0,,,,,,
1,,0,0.8,False,0.0,,,,,,
0,,0,0.2,True,1.0,,,,,,
1,,0,0.2,False,1.0,,,,,,
0,,1,0.8,False,0.0,,,,,,
1,,1,0.8,False,0.0,,,,,,
0,,1,0.2,False,1.0,,,,,,
1,,1,0.2,False,1.0,,,,,,
0,,0,0.385,False,,0.0,0.0,,,,
1,,0,0.385,False,,0.0,0.0,,,,
0,,0,0.115,False,,1.0,0.0,,,,
1,,0,0.115,False,,1.0,0.0,,,,
0,,0,0.385,False,,0.0,1.0,,,,
1,,0,0.385,True,,0.0,1.0,,,,
0,,0,0.115,False,,1.0,1.0,,,,
1,,0,0.115,False,,1.0,1.0,,,,
0,,1,0.385,False,,0.0,0.0,,,,
1,,1,0.385,False,,0.0,0.0,,,,
0,,1,0.115,False,,1.0,0.0,,,,
1,,1,0.115,False,,1.0,0.0,,,,
0,,1,0.385,False,,0.0,1.0,,,,
1,,1,0.385,True,,0.0,1.0,,,,
0,,1,0.115,False,,1.0,1.0,,,,
1,,1,0.115,False,,1.0,1.0,,,,
0,,0,0.6004,False,,,,0.0,0.0,,
1,,0,0.6004,False,,,,0.0,0.0,,
0,,0,0.1596,False,,,,1.0,0.0,,
1,,0,0.1596,False,,,,1.0,0.0,,
0,,0,0.1896,False,,,,0.0,1.0,,
1,,0,0.1896,False,,,,0.0,1.0,,
0,,0,0.05039999999999999,False,,,,1.0,1.0,,
1,,0,0.05039999999999999,False,,,,1.0,1.0,,
0,,1,0.6004,False,,,,0.0,0.0,,
1,,1,0.6004,False,,,,0.0,0.0,,
0,,1,0.1596,False,,,,1.0,0.0,,
1,,1,0.1596,False,,,,1.0,0.0,,
0,,1,0.1896,False,,,,0.0,1.0,,
1,,1,0.1896,False,,,,0.0,1.0,,
0,,1,0.05039999999999999,False,,,,1.0,1.0,,
1,,1,0.05039999999999999,False,,,,1.0,1.0,,
0,,0,0.3876,False,,,,,,0.0,0.0
1,,0,0.3876,False,,,,,,0.0,0.0
0,,0,0.3724,False,,,,,,1.0,0.0
1,,0,0.3724,False,,,,,,1.0,0.0
0,,0,0.1224,False,,,,,,0.0,1.0
1,,0,0.1224,False,,,,,,0.0,1.0
0,,0,0.1176,False,,,,,,1.0,1.0
1,,0,0.1176,False,,,,,,1.0,1.0
0,,1,0.3876,True,,,,,,0.0,0.0
1,,1,0.3876,False,,,,,,0.0,0.0
0,,1,0.3724,False,,,,,,1.0,0.0
1,,1,0.3724,False,,,,,,1.0,0.0
0,,1,0.1224,False,,,,,,0.0,1.0
1,,1,0.1224,False,,,,,,0.0,1.0
0,,1,0.1176,False,,,,,,1.0,1.0
1,,1,0.1176,False,,,,,,1.0,1.0
