S,6,T,prob,Connected,4,2,5
0,0.0,0,0.37,True,,,
1,0.0,0,0.37,True,,,
0,1.0,0,0.53,True,,,
1,1.0,0,0.53,True,,,
0,2.0,0,0.1,True,,,
1,2.0,0,0.1,True,,,
0,0.0,1,0.37,True,,,
1,0.0,1,0.37,True,,,
0,1.0,1,0.53,True,,,
1,1.0,1,0.53,True,,,
0,2.0,1,0.1,True,,,
1,2.0,1,0.1,True,,,
0,,0,0.27,True,0.0,,
1,,0,0.27,True,0.0,,
0,,0,0.24,True,1.0,,
1,,0,0.24,False,1.0,,
0,,0,0.49,True,2.0,,
1,,0,0.49,True,2.0,,
0,,1,0.27,True,0.0,,
1,,1,0.27,True,0.0,,
0,,1,0.24,True,1.0,,
1,,1,0.24,False,1.0,,
0,,1,0.49,True,2.0,,
1,,1,0.49,True,2.0,,
0,,0,0.14850000000000002,False,,0.0,0.0
1,,0,0.14850000000000002,False,,0.0,0.0
0,,0,0.09000000000000001,False,,1.0,0.0
1,,0,0.09000000000000001,False,,1.0,0.0
0,,0,0.2115,False,,2.0,0.0
1,,0,0.2115,False,,2.0,0.0
0,,0,0.18150000000000002,True,,0.0,1.0
1,,0,0.18150000000000002,True,,0.0,1.0
0,,0,0.11000000000000001,False,,1.0,1.0
1,,0,0.11000000000000001,False,,1.0,1.0
0,,0,0.2585,True,,2.0,1.0
1,,0,0.2585,True,,2.0,1.0
0,,1,0.14850000000000002,True,,0.0,0.0
1,,1,0.14850000000000002,True,,0.0,0.0
0,,1,0.09000000000000001,False,,1.0,0.0
1,,1,0.09000000000000001,False,,1.0,0.0
0,,1,0.2115,True,,2.0,0.0
1,,1,0.2115,True,,2.0,0.0
0,,1,0.18150000000000002,True,,0.0,1.0
1,,1,0.18150000000000002,True,,0.0,1.0
0,,1,0.11000000000000001,False,,1.0,1.0
1,,1,0.11000000000000001,False,,1.0,1.0
0,,1,0.2585,True,,2.0,1.0
1,,1,0.2585,True,,2.0,1.0
