S,37,T,prob,Connected,32,31,36,38,33,34,27,28,21,30,20,29,16,25,7,12,2,11,1,10,13,15,19,23
0,0,0,0.01,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.02116,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0.019044,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0.04,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0.07,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,0.06,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0.020424,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0.03,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0.03,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,0.07,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0.11396,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,0.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,0.02208,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,0.0368,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0.03312,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,0.07,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,0.1232,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,0.11,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.018768,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.028152,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.036432,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.06,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.05,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.03,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05032,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.05,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.06,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.09,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.03,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.0544,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.04896,TRUE,0,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.06,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1056,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.1,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.019872,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.03,TRUE,,0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.01,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.02116,FALSE,,1,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.019044,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.02,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03772,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.03,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.031968,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05328,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.047952,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.020424,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.03,FALSE,,1,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.03,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.036408,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.06068,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.054612,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.03,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.06,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.05,FALSE,,0,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.02208,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.0368,FALSE,,1,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.03312,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.04,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.07,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.05904,FALSE,,2,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.01,FALSE,,,0,0,,,,,,,,,,,,,,,,,,,,
1,,0,0.01,TRUE,,,0,0,,,,,,,,,,,,,,,,,,,,
2,,0,0.01206396,TRUE,,,0,0,,,,,,,,,,,,,,,,,,,,
0,,0,0.02,FALSE,,,1,0,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,FALSE,,,1,0,,,,,,,,,,,,,,,,,,,,
2,,0,0.02,FALSE,,,1,0,,,,,,,,,,,,,,,,,,,,
0,,0,0,FALSE,,,2,0,,,,,,,,,,,,,,,,,,,,
1,,0,0,FALSE,,,2,0,,,,,,,,,,,,,,,,,,,,
2,,0,0,FALSE,,,2,0,,,,,,,,,,,,,,,,,,,,
