S,5,8,T,prob,Connected,3,7,2,4
0,0.0,0.0,0,0.3796,False,,,,
1,0.0,0.0,0,0.3796,False,,,,
0,1.0,0.0,0,0.3504,False,,,,
1,1.0,0.0,0,0.3504,False,,,,
0,0.0,1.0,0,0.14040000000000002,False,,,,
1,0.0,1.0,0,0.14040000000000002,False,,,,
0,1.0,1.0,0,0.1296,False,,,,
1,1.0,1.0,0,0.1296,False,,,,
0,0.0,0.0,1,0.3796,False,,,,
1,0.0,0.0,1,0.3796,False,,,,
0,1.0,0.0,1,0.3504,False,,,,
1,1.0,0.0,1,0.3504,False,,,,
0,0.0,1.0,1,0.14040000000000002,False,,,,
1,0.0,1.0,1,0.14040000000000002,False,,,,
0,1.0,1.0,1,0.1296,True,,,,
1,1.0,1.0,1,0.1296,True,,,,
0,,,0,0.34980000000000006,False,0.0,0.0,,
1,,,0,0.34980000000000006,False,0.0,0.0,,
0,,,0,0.18020000000000003,True,1.0,0.0,,
1,,,0,0.18020000000000003,False,1.0,0.0,,
0,,,0,0.3102,False,0.0,1.0,,
1,,,0,0.3102,False,0.0,1.0,,
0,,,0,0.1598,False,1.0,1.0,,
1,,,0,0.1598,False,1.0,1.0,,
0,,,1,0.34980000000000006,False,0.0,0.0,,
1,,,1,0.34980000000000006,False,0.0,0.0,,
0,,,1,0.18020000000000003,False,1.0,0.0,,
1,,,1,0.18020000000000003,False,1.0,0.0,,
0,,,1,0.3102,False,0.0,1.0,,
1,,,1,0.3102,False,0.0,1.0,,
0,,,1,0.1598,False,1.0,1.0,,
1,,,1,0.1598,False,1.0,1.0,,
0,,,0,0.3392,False,,,0.0,0.0
1,,,0,0.3392,True,,,0.0,0.0
0,,,0,0.3008,True,,,1.0,0.0
1,,,0,0.3008,True,,,1.0,0.0
0,,,0,0.1908,False,,,0.0,1.0
1,,,0,0.1908,False,,,0.0,1.0
0,,,0,0.1692,False,,,1.0,1.0
1,,,0,0.1692,False,,,1.0,1.0
0,,,1,0.3392,False,,,0.0,0.0
1,,,1,0.3392,True,,,0.0,0.0
0,,,1,0.3008,True,,,1.0,0.0
1,,,1,0.3008,True,,,1.0,0.0
0,,,1,0.1908,False,,,0.0,1.0
1,,,1,0.1908,False,,,0.0,1.0
0,,,1,0.1692,False,,,1.0,1.0
1,,,1,0.1692,False,,,1.0,1.0
