S,7,T,prob,Connected,5,6
0,0.0,0,0.69,True,,
1,0.0,0,0.69,True,,
0,1.0,0,0.31,False,,
1,1.0,0,0.31,False,,
0,0.0,1,0.69,True,,
1,0.0,1,0.69,True,,
0,1.0,1,0.31,True,,
1,1.0,1,0.31,True,,
0,,0,0.5929,True,0.0,0.0
1,,0,0.5929,True,0.0,0.0
0,,0,0.1771,True,1.0,0.0
1,,0,0.1771,False,1.0,0.0
0,,0,0.1771,True,0.0,1.0
1,,0,0.1771,True,0.0,1.0
0,,0,0.0529,False,1.0,1.0
1,,0,0.0529,False,1.0,1.0
0,,1,0.5929,True,0.0,0.0
1,,1,0.5929,True,0.0,0.0
0,,1,0.1771,True,1.0,0.0
1,,1,0.1771,False,1.0,0.0
0,,1,0.1771,False,0.0,1.0
1,,1,0.1771,False,0.0,1.0
0,,1,0.0529,False,1.0,1.0
1,,1,0.0529,False,1.0,1.0
