S,31,T,prob,Connected,27,16,14,10,8,32,34,28,33,25,29,17,26,15,23,13,21,7,20
0,0.0,0,0.58,True,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.58,False,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.42,False,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.42,False,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.58,True,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.58,False,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.42,False,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.42,False,,,,,,,,,,,,,,,,,,,
0,,0,0.57,False,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.57,True,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.43,False,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.43,False,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.57,False,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.57,False,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.43,True,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.43,False,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.52,False,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.52,True,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.48,False,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.48,True,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.52,False,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.52,True,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.48,False,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.48,False,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.7,False,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.7,False,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.3,True,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.3,True,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.7,False,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.7,False,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.3,False,,,1.0,,,,,,,,,,,,,,,,
1,,1,0.3,False,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.55,False,,,,0.0,,,,,,,,,,,,,,,
1,,0,0.55,False,,,,0.0,,,,,,,,,,,,,,,
0,,0,0.45,True,,,,1.0,,,,,,,,,,,,,,,
1,,0,0.45,True,,,,1.0,,,,,,,,,,,,,,,
0,,1,0.55,False,,,,0.0,,,,,,,,,,,,,,,
1,,1,0.55,False,,,,0.0,,,,,,,,,,,,,,,
0,,1,0.45,True,,,,1.0,,,,,,,,,,,,,,,
1,,1,0.45,True,,,,1.0,,,,,,,,,,,,,,,
0,,0,0.62,True,,,,,0.0,,,,,,,,,,,,,,
1,,0,0.62,False,,,,,0.0,,,,,,,,,,,,,,
0,,0,0.38,False,,,,,1.0,,,,,,,,,,,,,,
1,,0,0.38,False,,,,,1.0,,,,,,,,,,,,,,
0,,1,0.62,False,,,,,0.0,,,,,,,,,,,,,,
1,,1,0.62,False,,,,,0.0,,,,,,,,,,,,,,
0,,1,0.38,True,,,,,1.0,,,,,,,,,,,,,,
1,,1,0.38,True,,,,,1.0,,,,,,,,,,,,,,
0,,0,0.34650000000000003,True,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.34650000000000003,True,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.28350000000000003,False,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.28350000000000003,False,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.20350000000000001,False,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.20350000000000001,False,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.1665,False,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.1665,False,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.34650000000000003,False,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.34650000000000003,False,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.28350000000000003,False,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.28350000000000003,False,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.20350000000000001,True,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.20350000000000001,True,,,,,,0.0,1.0,,,,,,,,,,,,
