S,3,T,prob,Connected
0,0,0,0.74,False
1,0,0,0.74,False
0,1,0,0.26,True
1,1,0,0.26,True
0,0,1,0.74,True
1,0,1,0.74,False
0,1,1,0.26,True
1,1,1,0.26,True
