S,53,T,prob,Connected,52,47,43,39,38,26,25,18,8,5,2,57,60,41,59,40,56,30,54,29,48,22,49,20,45,15,34,14,37,6,27,31,32
1,,2,0.68,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.32,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.32,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.29,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.29,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.49,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.49,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.29,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.29,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.49,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.49,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.29,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.29,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.49,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.49,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.22,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.38,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.38,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.38,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.38,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.38,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.38,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.62,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.65,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.65,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.42,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.16,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
