S,11,T,prob,Connected,7,10,5,9,3,6
0,0.0,0,0.57,False,,,,,,
1,0.0,0,0.57,False,,,,,,
0,1.0,0,0.43,False,,,,,,
1,1.0,0,0.43,False,,,,,,
0,0.0,1,0.57,False,,,,,,
1,0.0,1,0.57,False,,,,,,
0,1.0,1,0.43,False,,,,,,
1,1.0,1,0.43,True,,,,,,
0,,0,0.5005000000000001,True,0.0,0.0,,,,
1,,0,0.5005000000000001,True,0.0,0.0,,,,
0,,0,0.14950000000000002,False,1.0,0.0,,,,
1,,0,0.14950000000000002,False,1.0,0.0,,,,
0,,0,0.26949999999999996,True,0.0,1.0,,,,
1,,0,0.26949999999999996,True,0.0,1.0,,,,
0,,0,0.0805,False,1.0,1.0,,,,
1,,0,0.0805,False,1.0,1.0,,,,
0,,1,0.5005000000000001,True,0.0,0.0,,,,
1,,1,0.5005000000000001,True,0.0,0.0,,,,
0,,1,0.14950000000000002,False,1.0,0.0,,,,
1,,1,0.14950000000000002,False,1.0,0.0,,,,
0,,1,0.26949999999999996,False,0.0,1.0,,,,
1,,1,0.26949999999999996,False,0.0,1.0,,,,
0,,1,0.0805,False,1.0,1.0,,,,
1,,1,0.0805,False,1.0,1.0,,,,
0,,0,0.315,False,,,0.0,0.0,,
1,,0,0.315,False,,,0.0,0.0,,
0,,0,0.185,False,,,1.0,0.0,,
1,,0,0.185,False,,,1.0,0.0,,
0,,0,0.315,False,,,0.0,1.0,,
1,,0,0.315,False,,,0.0,1.0,,
0,,0,0.185,False,,,1.0,1.0,,
1,,0,0.185,False,,,1.0,1.0,,
0,,1,0.315,False,,,0.0,0.0,,
1,,1,0.315,False,,,0.0,0.0,,
0,,1,0.185,False,,,1.0,0.0,,
1,,1,0.185,False,,,1.0,0.0,,
0,,1,0.315,False,,,0.0,1.0,,
1,,1,0.315,False,,,0.0,1.0,,
0,,1,0.185,False,,,1.0,1.0,,
1,,1,0.185,False,,,1.0,1.0,,
0,,0,0.3016,True,,,,,0.0,0.0
1,,0,0.3016,True,,,,,0.0,0.0
0,,0,0.2184,True,,,,,1.0,0.0
1,,0,0.2184,True,,,,,1.0,0.0
0,,0,0.2784,True,,,,,0.0,1.0
1,,0,0.2784,True,,,,,0.0,1.0
0,,0,0.20159999999999997,False,,,,,1.0,1.0
1,,0,0.20159999999999997,False,,,,,1.0,1.0
0,,1,0.3016,True,,,,,0.0,0.0
1,,1,0.3016,True,,,,,0.0,0.0
0,,1,0.2184,True,,,,,1.0,0.0
1,,1,0.2184,True,,,,,1.0,0.0
0,,1,0.2784,True,,,,,0.0,1.0
1,,1,0.2784,True,,,,,0.0,1.0
0,,1,0.20159999999999997,False,,,,,1.0,1.0
1,,1,0.20159999999999997,False,,,,,1.0,1.0
