S,13,T,prob,Connected,4,3,6,11,5,10,1,8
0,0.0,0,0.67,False,,,,,,,,
1,0.0,0,0.67,True,,,,,,,,
0,1.0,0,0.33,True,,,,,,,,
1,1.0,0,0.33,True,,,,,,,,
0,0.0,1,0.67,False,,,,,,,,
1,0.0,1,0.67,True,,,,,,,,
0,1.0,1,0.33,False,,,,,,,,
1,1.0,1,0.33,False,,,,,,,,
0,,0,0.5,True,0.0,,,,,,,
1,,0,0.5,False,0.0,,,,,,,
0,,0,0.5,True,1.0,,,,,,,
1,,0,0.5,False,1.0,,,,,,,
0,,1,0.5,True,0.0,,,,,,,
1,,1,0.5,False,0.0,,,,,,,
0,,1,0.5,True,1.0,,,,,,,
1,,1,0.5,False,1.0,,,,,,,
0,,0,0.52,False,,0.0,,,,,,
1,,0,0.52,True,,0.0,,,,,,
0,,0,0.48,True,,1.0,,,,,,
1,,0,0.48,True,,1.0,,,,,,
0,,1,0.52,False,,0.0,,,,,,
1,,1,0.52,True,,0.0,,,,,,
0,,1,0.48,False,,1.0,,,,,,
1,,1,0.48,False,,1.0,,,,,,
0,,0,0.3819,True,,,0.0,0.0,,,,
1,,0,0.3819,False,,,0.0,0.0,,,,
0,,0,0.1881,True,,,1.0,0.0,,,,
1,,0,0.1881,True,,,1.0,0.0,,,,
0,,0,0.2881,False,,,0.0,1.0,,,,
1,,0,0.2881,False,,,0.0,1.0,,,,
0,,0,0.1419,False,,,1.0,1.0,,,,
1,,0,0.1419,False,,,1.0,1.0,,,,
0,,1,0.3819,True,,,0.0,0.0,,,,
1,,1,0.3819,False,,,0.0,0.0,,,,
0,,1,0.1881,True,,,1.0,0.0,,,,
1,,1,0.1881,True,,,1.0,0.0,,,,
0,,1,0.2881,True,,,0.0,1.0,,,,
1,,1,0.2881,False,,,0.0,1.0,,,,
0,,1,0.1419,False,,,1.0,1.0,,,,
1,,1,0.1419,False,,,1.0,1.0,,,,
0,,0,0.396,False,,,,,0.0,0.0,,
1,,0,0.396,True,,,,,0.0,0.0,,
0,,0,0.20400000000000001,True,,,,,1.0,0.0,,
1,,0,0.20400000000000001,True,,,,,1.0,0.0,,
0,,0,0.264,False,,,,,0.0,1.0,,
1,,0,0.264,False,,,,,0.0,1.0,,
0,,0,0.136,False,,,,,1.0,1.0,,
1,,0,0.136,False,,,,,1.0,1.0,,
0,,1,0.396,False,,,,,0.0,0.0,,
1,,1,0.396,True,,,,,0.0,0.0,,
0,,1,0.20400000000000001,True,,,,,1.0,0.0,,
1,,1,0.20400000000000001,True,,,,,1.0,0.0,,
0,,1,0.264,False,,,,,0.0,1.0,,
1,,1,0.264,True,,,,,0.0,1.0,,
0,,1,0.136,True,,,,,1.0,1.0,,
1,,1,0.136,True,,,,,1.0,1.0,,
0,,0,0.5402,False,,,,,,,0.0,0.0
1,,0,0.5402,False,,,,,,,0.0,0.0
0,,0,0.1898,False,,,,,,,1.0,0.0
1,,0,0.1898,False,,,,,,,1.0,0.0
0,,0,0.1998,False,,,,,,,0.0,1.0
1,,0,0.1998,True,,,,,,,0.0,1.0
0,,0,0.07020000000000001,False,,,,,,,1.0,1.0
1,,0,0.07020000000000001,False,,,,,,,1.0,1.0
0,,1,0.5402,False,,,,,,,0.0,0.0
1,,1,0.5402,False,,,,,,,0.0,0.0
0,,1,0.1898,False,,,,,,,1.0,0.0
1,,1,0.1898,False,,,,,,,1.0,0.0
0,,1,0.1998,False,,,,,,,0.0,1.0
1,,1,0.1998,False,,,,,,,0.0,1.0
0,,1,0.07020000000000001,False,,,,,,,1.0,1.0
1,,1,0.07020000000000001,False,,,,,,,1.0,1.0
