1,,1,0.2814,False,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.1386,False,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.1386,False,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.38480000000000003,False,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.38480000000000003,False,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.35519999999999996,False,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.35519999999999996,False,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.13520000000000001,True,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.13520000000000001,True,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.1248,True,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.1248,True,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.38480000000000003,False,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.38480000000000003,False,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.35519999999999996,True,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.35519999999999996,True,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.13520000000000001,True,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.13520000000000001,True,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.1248,True,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.1248,True,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.45539999999999997,False,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.45539999999999997,False,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.2046,False,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.2046,False,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.2346,False,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.2346,False,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.10540000000000001,False,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.10540000000000001,False,,,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.45539999999999997,False,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.45539999999999997,False,,,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.2046,False,,,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.2046,False,,,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.2346,False,,,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.2346,False,,,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.10540000000000001,False,,,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.10540000000000001,False,,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.4928,True,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.4928,False,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.1472,True,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.1472,False,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.2772,False,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.2772,False,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.0828,False,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.0828,False,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.4928,False,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.4928,False,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.1472,False,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.1472,False,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.2772,False,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.2772,False,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.0828,False,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.0828,False,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.4425,False,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.4425,False,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.1475,False,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.1475,False,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.3075,True,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.3075,False,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.1025,False,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.1025,False,,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.4425,False,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.4425,False,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.1475,False,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.1475,False,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.3075,True,,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.3075,False,,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.1025,False,,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.1025,False,,,,,,,,,,,,,,,,,1.0,1.0
