S,5,T,prob,Connected,4
0,0.0,0,0.05,True,
1,0.0,0,0.05,True,
2,0.0,0,0.05,True,
3,0.0,0,0.05,False,
0,1.0,0,0.0,False,
1,1.0,0,0.0,False,
2,1.0,0,0.0,False,
3,1.0,0,0.0,False,
0,2.0,0,0.02,False,
1,2.0,0,0.02,False,
2,2.0,0,0.02,False,
3,2.0,0,0.02,False,
0,3.0,0,0.17,True,
1,3.0,0,0.17,True,
2,3.0,0,0.17,False,
3,3.0,0,0.17,True,
0,4.0,0,0.08,False,
1,4.0,0,0.08,True,
2,4.0,0,0.08,True,
3,4.0,0,0.08,False,
0,5.0,0,0.68,True,
1,5.0,0,0.68,True,
2,5.0,0,0.68,True,
3,5.0,0,0.68,True,
0,0.0,1,0.05,True,
1,0.0,1,0.05,True,
2,0.0,1,0.05,True,
3,0.0,1,0.05,False,
0,1.0,1,0.0,True,
1,1.0,1,0.0,False,
2,1.0,1,0.0,False,
3,1.0,1,0.0,True,
0,2.0,1,0.02,False,
1,2.0,1,0.02,False,
2,2.0,1,0.02,False,
3,2.0,1,0.02,False,
0,3.0,1,0.17,True,
1,3.0,1,0.17,True,
2,3.0,1,0.17,False,
3,3.0,1,0.17,True,
0,4.0,1,0.08,False,
1,4.0,1,0.08,False,
2,4.0,1,0.08,False,
3,4.0,1,0.08,False,
0,5.0,1,0.68,True,
1,5.0,1,0.68,True,
2,5.0,1,0.68,True,
3,5.0,1,0.68,True,
0,0.0,2,0.05,True,
1,0.0,2,0.05,True,
2,0.0,2,0.05,True,
3,0.0,2,0.05,False,
0,1.0,2,0.0,True,
1,1.0,2,0.0,False,
2,1.0,2,0.0,False,
3,1.0,2,0.0,True,
0,2.0,2,0.02,True,
1,2.0,2,0.02,False,
2,2.0,2,0.02,False,
3,2.0,2,0.02,False,
0,3.0,2,0.17,True,
1,3.0,2,0.17,True,
2,3.0,2,0.17,False,
3,3.0,2,0.17,True,
0,4.0,2,0.08,False,
1,4.0,2,0.08,True,
2,4.0,2,0.08,True,
3,4.0,2,0.08,False,
0,5.0,2,0.68,False,
1,5.0,2,0.68,False,
2,5.0,2,0.68,False,
3,5.0,2,0.68,False,
0,0.0,3,0.05,True,
1,0.0,3,0.05,True,
2,0.0,3,0.05,True,
3,0.0,3,0.05,False,
0,1.0,3,0.0,True,
1,1.0,3,0.0,False,
2,1.0,3,0.0,False,
3,1.0,3,0.0,True,
0,2.0,3,0.02,True,
1,2.0,3,0.02,False,
2,2.0,3,0.02,False,
3,2.0,3,0.02,False,
0,3.0,3,0.17,True,
1,3.0,3,0.17,True,
2,3.0,3,0.17,False,
3,3.0,3,0.17,True,
0,4.0,3,0.08,False,
1,4.0,3,0.08,False,
2,4.0,3,0.08,False,
3,4.0,3,0.08,False,
0,5.0,3,0.68,False,
1,5.0,3,0.68,False,
2,5.0,3,0.68,False,
3,5.0,3,0.68,False,
0,,0,0.04,True,0.0
1,,0,0.04,True,0.0
2,,0,0.04,True,0.0
3,,0,0.04,True,0.0
0,,0,0.18,False,1.0
1,,0,0.18,False,1.0
2,,0,0.18,False,1.0
3,,0,0.18,False,1.0
0,,0,0.05,True,2.0
1,,0,0.05,True,2.0
2,,0,0.05,False,2.0
3,,0,0.05,True,2.0
0,,0,0.0,False,3.0
1,,0,0.0,False,3.0
2,,0,0.0,True,3.0
3,,0,0.0,True,3.0
0,,1,0.04,False,0.0
1,,1,0.04,False,0.0
2,,1,0.04,False,0.0
3,,1,0.04,False,0.0
0,,1,0.18,True,1.0
1,,1,0.18,True,1.0
2,,1,0.18,False,1.0
3,,1,0.18,True,1.0
0,,1,0.05,False,2.0
1,,1,0.05,False,2.0
2,,1,0.05,False,2.0
3,,1,0.05,False,2.0
0,,1,0.0,False,3.0
1,,1,0.0,False,3.0
2,,1,0.0,True,3.0
3,,1,0.0,True,3.0
0,,2,0.04,False,0.0
1,,2,0.04,False,0.0
2,,2,0.04,False,0.0
3,,2,0.04,False,0.0
0,,2,0.18,False,1.0
1,,2,0.18,False,1.0
2,,2,0.18,False,1.0
3,,2,0.18,False,1.0
0,,2,0.05,False,2.0
1,,2,0.05,False,2.0
2,,2,0.05,False,2.0
3,,2,0.05,False,2.0
0,,2,0.0,False,3.0
1,,2,0.0,False,3.0
2,,2,0.0,True,3.0
3,,2,0.0,True,3.0
0,,3,0.04,True,0.0
1,,3,0.04,True,0.0
2,,3,0.04,True,0.0
3,,3,0.04,True,0.0
0,,3,0.18,False,1.0
1,,3,0.18,False,1.0
2,,3,0.18,False,1.0
3,,3,0.18,False,1.0
0,,3,0.05,False,2.0
1,,3,0.05,False,2.0
2,,3,0.05,False,2.0
3,,3,0.05,False,2.0
0,,3,0.0,False,3.0
1,,3,0.0,False,3.0
2,,3,0.0,True,3.0
3,,3,0.0,True,3.0
