S,2,T,prob,Connected,4,6
0,0.0,0,0.18,False,,
1,0.0,0,0.18,False,,
2,0.0,0,0.18,False,,
3,0.0,0,0.18,False,,
4,0.0,0,0.18,False,,
0,1.0,0,0.17,True,,
1,1.0,0,0.17,True,,
2,1.0,0,0.17,True,,
3,1.0,0,0.17,True,,
4,1.0,0,0.17,False,,
0,2.0,0,0.1,False,,
1,2.0,0,0.1,True,,
2,2.0,0,0.1,True,,
3,2.0,0,0.1,True,,
4,2.0,0,0.1,False,,
0,3.0,0,0.14,True,,
1,3.0,0,0.14,True,,
2,3.0,0,0.14,True,,
3,3.0,0,0.14,True,,
4,3.0,0,0.14,True,,
0,4.0,0,0.41,True,,
1,4.0,0,0.41,True,,
2,4.0,0,0.41,True,,
3,4.0,0,0.41,True,,
4,4.0,0,0.41,True,,
0,0.0,1,0.18,True,,
1,0.0,1,0.18,True,,
2,0.0,1,0.18,True,,
3,0.0,1,0.18,True,,
4,0.0,1,0.18,True,,
0,1.0,1,0.17,True,,
1,1.0,1,0.17,True,,
2,1.0,1,0.17,True,,
3,1.0,1,0.17,True,,
4,1.0,1,0.17,False,,
0,2.0,1,0.1,False,,
1,2.0,1,0.1,True,,
2,2.0,1,0.1,True,,
3,2.0,1,0.1,True,,
4,2.0,1,0.1,False,,
0,3.0,1,0.14,False,,
1,3.0,1,0.14,False,,
2,3.0,1,0.14,False,,
3,3.0,1,0.14,False,,
4,3.0,1,0.14,False,,
0,4.0,1,0.41,True,,
1,4.0,1,0.41,True,,
2,4.0,1,0.41,True,,
3,4.0,1,0.41,True,,
4,4.0,1,0.41,True,,
0,0.0,2,0.18,True,,
1,0.0,2,0.18,True,,
2,0.0,2,0.18,True,,
3,0.0,2,0.18,True,,
4,0.0,2,0.18,True,,
0,1.0,2,0.17,True,,
1,1.0,2,0.17,True,,
2,1.0,2,0.17,True,,
3,1.0,2,0.17,True,,
4,1.0,2,0.17,False,,
0,2.0,2,0.1,False,,
1,2.0,2,0.1,False,,
2,2.0,2,0.1,False,,
3,2.0,2,0.1,False,,
4,2.0,2,0.1,False,,
0,3.0,2,0.14,True,,
1,3.0,2,0.14,True,,
2,3.0,2,0.14,True,,
3,3.0,2,0.14,True,,
