S,5,T,prob,Connected,3
0,0.0,0,0.17,False,
1,0.0,0,0.17,True,
2,0.0,0,0.17,True,
3,0.0,0,0.17,False,
0,1.0,0,0.06,False,
1,1.0,0,0.06,True,
2,1.0,0,0.06,False,
3,1.0,0,0.06,False,
0,2.0,0,0.08,False,
1,2.0,0,0.08,False,
2,2.0,0,0.08,False,
3,2.0,0,0.08,False,
0,3.0,0,0.12,False,
1,3.0,0,0.12,False,
2,3.0,0,0.12,True,
3,3.0,0,0.12,True,
0,0.0,1,0.17,False,
1,0.0,1,0.17,True,
2,0.0,1,0.17,True,
3,0.0,1,0.17,False,
0,1.0,1,0.06,False,
1,1.0,1,0.06,True,
2,1.0,1,0.06,False,
3,1.0,1,0.06,False,
0,2.0,1,0.08,False,
1,2.0,1,0.08,False,
2,2.0,1,0.08,False,
3,2.0,1,0.08,False,
0,3.0,1,0.12,False,
1,3.0,1,0.12,False,
2,3.0,1,0.12,True,
3,3.0,1,0.12,True,
0,0.0,2,0.17,False,
1,0.0,2,0.17,False,
2,0.0,2,0.17,False,
3,0.0,2,0.17,False,
0,1.0,2,0.06,False,
1,1.0,2,0.06,True,
2,1.0,2,0.06,False,
3,1.0,2,0.06,False,
0,2.0,2,0.08,False,
1,2.0,2,0.08,False,
2,2.0,2,0.08,False,
3,2.0,2,0.08,False,
0,3.0,2,0.12,False,
1,3.0,2,0.12,False,
2,3.0,2,0.12,False,
3,3.0,2,0.12,False,
0,0.0,3,0.17,False,
1,0.0,3,0.17,False,
2,0.0,3,0.17,False,
3,0.0,3,0.17,False,
0,1.0,3,0.06,False,
1,1.0,3,0.06,True,
2,1.0,3,0.06,False,
3,1.0,3,0.06,False,
0,2.0,3,0.08,False,
1,2.0,3,0.08,False,
2,2.0,3,0.08,False,
3,2.0,3,0.08,False,
0,3.0,3,0.12,False,
1,3.0,3,0.12,False,
2,3.0,3,0.12,False,
3,3.0,3,0.12,False,
0,,0,0.03,False,0.0
1,,0,0.03,False,0.0
2,,0,0.03,False,0.0
3,,0,0.03,False,0.0
0,,0,0.2,True,1.0
1,,0,0.2,True,1.0
2,,0,0.2,False,1.0
3,,0,0.2,True,1.0
0,,0,0.17,True,2.0
1,,0,0.17,False,2.0
2,,0,0.17,False,2.0
3,,0,0.17,True,2.0
0,,0,0.03,False,3.0
1,,0,0.03,False,3.0
2,,0,0.03,False,3.0
3,,0,0.03,False,3.0
0,,1,0.03,True,0.0
1,,1,0.03,True,0.0
2,,1,0.03,True,0.0
3,,1,0.03,True,0.0
0,,1,0.2,True,1.0
1,,1,0.2,True,1.0
2,,1,0.2,False,1.0
3,,1,0.2,True,1.0
0,,1,0.17,True,2.0
1,,1,0.17,False,2.0
2,,1,0.17,False,2.0
3,,1,0.17,True,2.0
0,,1,0.03,True,3.0
1,,1,0.03,True,3.0
2,,1,0.03,True,3.0
3,,1,0.03,True,3.0
0,,2,0.03,True,0.0
1,,2,0.03,True,0.0
2,,2,0.03,True,0.0
3,,2,0.03,True,0.0
0,,2,0.2,True,1.0
1,,2,0.2,True,1.0
2,,2,0.2,False,1.0
3,,2,0.2,True,1.0
0,,2,0.17,True,2.0
1,,2,0.17,False,2.0
2,,2,0.17,False,2.0
3,,2,0.17,True,2.0
0,,2,0.03,True,3.0
1,,2,0.03,True,3.0
2,,2,0.03,True,3.0
3,,2,0.03,True,3.0
0,,3,0.03,False,0.0
1,,3,0.03,False,0.0
2,,3,0.03,False,0.0
3,,3,0.03,False,0.0
0,,3,0.2,False,1.0
1,,3,0.2,False,1.0
2,,3,0.2,False,1.0
3,,3,0.2,False,1.0
0,,3,0.17,True,2.0
1,,3,0.17,False,2.0
2,,3,0.17,False,2.0
3,,3,0.17,True,2.0
0,,3,0.03,False,3.0
1,,3,0.03,False,3.0
2,,3,0.03,False,3.0
3,,3,0.03,False,3.0
