S,5,T,prob,Connected,6,8,4,7,1,3
0,0.0,0,0.72,False,,,,,,
1,0.0,0,0.72,False,,,,,,
0,1.0,0,0.28,False,,,,,,
1,1.0,0,0.28,False,,,,,,
0,0.0,1,0.72,False,,,,,,
1,0.0,1,0.72,True,,,,,,
0,1.0,1,0.28,True,,,,,,
1,1.0,1,0.28,False,,,,,,
0,,0,0.392,False,0.0,0.0,,,,
1,,0,0.392,False,0.0,0.0,,,,
0,,0,0.168,True,1.0,0.0,,,,
1,,0,0.168,False,1.0,0.0,,,,
0,,0,0.308,True,0.0,1.0,,,,
1,,0,0.308,False,0.0,1.0,,,,
0,,0,0.132,True,1.0,1.0,,,,
1,,0,0.132,False,1.0,1.0,,,,
0,,1,0.392,False,0.0,0.0,,,,
1,,1,0.392,False,0.0,0.0,,,,
0,,1,0.168,True,1.0,0.0,,,,
1,,1,0.168,False,1.0,0.0,,,,
0,,1,0.308,True,0.0,1.0,,,,
1,,1,0.308,False,0.0,1.0,,,,
0,,1,0.132,True,1.0,1.0,,,,
1,,1,0.132,False,1.0,1.0,,,,
0,,0,0.305,False,,,0.0,0.0,,
1,,0,0.305,False,,,0.0,0.0,,
0,,0,0.305,False,,,1.0,0.0,,
1,,0,0.305,True,,,1.0,0.0,,
0,,0,0.195,False,,,0.0,1.0,,
1,,0,0.195,False,,,0.0,1.0,,
0,,0,0.195,False,,,1.0,1.0,,
1,,0,0.195,False,,,1.0,1.0,,
0,,1,0.305,False,,,0.0,0.0,,
1,,1,0.305,False,,,0.0,0.0,,
0,,1,0.305,False,,,1.0,0.0,,
1,,1,0.305,True,,,1.0,0.0,,
0,,1,0.195,False,,,0.0,1.0,,
1,,1,0.195,False,,,0.0,1.0,,
0,,1,0.195,False,,,1.0,1.0,,
1,,1,0.195,True,,,1.0,1.0,,
0,,0,0.39,False,,,,,0.0,0.0
1,,0,0.39,False,,,,,0.0,0.0
0,,0,0.26,False,,,,,1.0,0.0
1,,0,0.26,False,,,,,1.0,0.0
0,,0,0.21,True,,,,,0.0,1.0
1,,0,0.21,False,,,,,0.0,1.0
0,,0,0.13999999999999999,False,,,,,1.0,1.0
1,,0,0.13999999999999999,False,,,,,1.0,1.0
0,,1,0.39,True,,,,,0.0,0.0
1,,1,0.39,False,,,,,0.0,0.0
0,,1,0.26,False,,,,,1.0,0.0
1,,1,0.26,False,,,,,1.0,0.0
0,,1,0.21,False,,,,,0.0,1.0
1,,1,0.21,False,,,,,0.0,1.0
0,,1,0.13999999999999999,False,,,,,1.0,1.0
1,,1,0.13999999999999999,False,,,,,1.0,1.0
