S,1,3,6,T,prob,Connected
0,0,0,0,0,0.0,False
1,0,0,0,0,0.0,False
2,0,0,0,0,0.0,False
3,0,0,0,0,0.0,False
0,1,0,0,0,0.0,False
1,1,0,0,0,0.0,False
2,1,0,0,0,0.0,False
3,1,0,0,0,0.0,False
0,2,0,0,0,0.0,False
1,2,0,0,0,0.0,False
2,2,0,0,0,0.0,False
3,2,0,0,0,0.0,False
0,3,0,0,0,0.0,False
1,3,0,0,0,0.0,False
2,3,0,0,0,0.0,False
3,3,0,0,0,0.0,False
0,0,1,0,0,0.0,False
1,0,1,0,0,0.0,False
2,0,1,0,0,0.0,False
3,0,1,0,0,0.0,False
0,1,1,0,0,0.0,False
1,1,1,0,0,0.0,False
2,1,1,0,0,0.0,False
3,1,1,0,0,0.0,False
0,2,1,0,0,0.0,False
1,2,1,0,0,0.0,False
2,2,1,0,0,0.0,False
3,2,1,0,0,0.0,False
0,3,1,0,0,0.0,False
1,3,1,0,0,0.0,False
2,3,1,0,0,0.0,False
3,3,1,0,0,0.0,False
0,0,2,0,0,0.0,False
1,0,2,0,0,0.0,False
2,0,2,0,0,0.0,False
3,0,2,0,0,0.0,False
0,1,2,0,0,0.0,False
1,1,2,0,0,0.0,False
2,1,2,0,0,0.0,False
3,1,2,0,0,0.0,False
0,2,2,0,0,0.0,False
1,2,2,0,0,0.0,False
2,2,2,0,0,0.0,False
3,2,2,0,0,0.0,False
0,3,2,0,0,0.0,False
1,3,2,0,0,0.0,False
2,3,2,0,0,0.0,False
3,3,2,0,0,0.0,False
0,0,3,0,0,0.0,False
1,0,3,0,0,0.0,False
2,0,3,0,0,0.0,False
3,0,3,0,0,0.0,False
0,1,3,0,0,0.0,False
1,1,3,0,0,0.0,False
2,1,3,0,0,0.0,False
3,1,3,0,0,0.0,False
0,2,3,0,0,0.0,False
1,2,3,0,0,0.0,False
2,2,3,0,0,0.0,False
3,2,3,0,0,0.0,False
0,3,3,0,0,0.0,False
1,3,3,0,0,0.0,False
2,3,3,0,0,0.0,False
3,3,3,0,0,0.0,False
0,0,4,0,0,0.0,False
1,0,4,0,0,0.0,False
2,0,4,0,0,0.0,False
3,0,4,0,0,0.0,False
0,1,4,0,0,0.0,False
1,1,4,0,0,0.0,False
2,1,4,0,0,0.0,False
3,1,4,0,0,0.0,False
0,2,4,0,0,0.0,False
1,2,4,0,0,0.0,False
2,2,4,0,0,0.0,False
3,2,4,0,0,0.0,False
0,3,4,0,0,0.0,False
1,3,4,0,0,0.0,False
2,3,4,0,0,0.0,False
3,3,4,0,0,0.0,False
0,0,5,0,0,0.0,False
1,0,5,0,0,0.0,False
2,0,5,0,0,0.0,False
3,0,5,0,0,0.0,False
0,1,5,0,0,0.0,False
1,1,5,0,0,0.0,False
2,1,5,0,0,0.0,False
3,1,5,0,0,0.0,False
0,2,5,0,0,0.0,False
1,2,5,0,0,0.0,False
2,2,5,0,0,0.0,False
3,2,5,0,0,0.0,False
0,3,5,0,0,0.0,False
1,3,5,0,0,0.0,False
2,3,5,0,0,0.0,False
3,3,5,0,0,0.0,False
0,0,0,1,0,0.0012959999999999998,False
1,0,0,1,0,0.0012959999999999998,False
2,0,0,1,0,0.0012959999999999998,False
3,0,0,1,0,0.0012959999999999998,False
0,1,0,1,0,0.0021599999999999996,False
1,1,0,1,0,0.0021599999999999996,False
2,1,0,1,0,0.0021599999999999996,False
3,1,0,1,0,0.0021599999999999996,False
0,2,0,1,0,0.000216,False
1,2,0,1,0,0.000216,False
2,2,0,1,0,0.000216,False
3,2,0,1,0,0.000216,False
0,3,0,1,0,0.000432,False
1,3,0,1,0,0.000432,False
2,3,0,1,0,0.000432,False
3,3,0,1,0,0.000432,False
0,0,1,1,0,0.0014399999999999999,False
1,0,1,1,0,0.0014399999999999999,False
2,0,1,1,0,0.0014399999999999999,False
3,0,1,1,0,0.0014399999999999999,False
0,1,1,1,0,0.0024000000000000002,False
1,1,1,1,0,0.0024000000000000002,False
2,1,1,1,0,0.0024000000000000002,False
3,1,1,1,0,0.0024000000000000002,False
0,2,1,1,0,0.00024,False
1,2,1,1,0,0.00024,False
2,2,1,1,0,0.00024,False
3,2,1,1,0,0.00024,False
0,3,1,1,0,0.00048,False
1,3,1,1,0,0.00048,False
2,3,1,1,0,0.00048,False
3,3,1,1,0,0.00048,False
0,0,2,1,0,0.000432,False
1,0,2,1,0,0.000432,False
2,0,2,1,0,0.000432,False
3,0,2,1,0,0.000432,False
0,1,2,1,0,0.0007199999999999999,False
1,1,2,1,0,0.0007199999999999999,False
2,1,2,1,0,0.0007199999999999999,False
3,1,2,1,0,0.0007199999999999999,False
0,2,2,1,0,7.199999999999999e-05,False
1,2,2,1,0,7.199999999999999e-05,False
2,2,2,1,0,7.199999999999999e-05,False
3,2,2,1,0,7.199999999999999e-05,False
0,3,2,1,0,0.00014399999999999998,False
