S,1,T,prob,Connected,2,5
0,0.0,0,0.18,False,,
1,0.0,0,0.18,True,,
2,0.0,0,0.18,True,,
3,0.0,0,0.18,True,,
4,0.0,0,0.18,True,,
0,1.0,0,0.13,False,,
1,1.0,0,0.13,False,,
2,1.0,0,0.13,False,,
3,1.0,0,0.13,False,,
4,1.0,0,0.13,False,,
0,2.0,0,0.19,False,,
1,2.0,0,0.19,False,,
2,2.0,0,0.19,False,,
3,2.0,0,0.19,False,,
4,2.0,0,0.19,False,,
0,3.0,0,0.12,False,,
1,3.0,0,0.12,False,,
2,3.0,0,0.12,False,,
3,3.0,0,0.12,False,,
4,3.0,0,0.12,False,,
0,4.0,0,0.38,False,,
1,4.0,0,0.38,False,,
2,4.0,0,0.38,False,,
3,4.0,0,0.38,False,,
4,4.0,0,0.38,False,,
0,0.0,1,0.18,False,,
1,0.0,1,0.18,True,,
2,0.0,1,0.18,True,,
3,0.0,1,0.18,True,,
4,0.0,1,0.18,True,,
0,1.0,1,0.13,True,,
1,1.0,1,0.13,False,,
2,1.0,1,0.13,False,,
3,1.0,1,0.13,True,,
4,1.0,1,0.13,False,,
0,2.0,1,0.19,False,,
1,2.0,1,0.19,False,,
2,2.0,1,0.19,False,,
3,2.0,1,0.19,False,,
4,2.0,1,0.19,False,,
0,3.0,1,0.12,False,,
1,3.0,1,0.12,False,,
2,3.0,1,0.12,False,,
3,3.0,1,0.12,False,,
4,3.0,1,0.12,False,,
0,4.0,1,0.38,True,,
1,4.0,1,0.38,False,,
2,4.0,1,0.38,True,,
3,4.0,1,0.38,False,,
4,4.0,1,0.38,True,,
0,0.0,2,0.18,False,,
1,0.0,2,0.18,True,,
2,0.0,2,0.18,True,,
3,0.0,2,0.18,True,,
4,0.0,2,0.18,True,,
0,1.0,2,0.13,True,,
1,1.0,2,0.13,False,,
2,1.0,2,0.13,False,,
3,1.0,2,0.13,True,,
4,1.0,2,0.13,False,,
0,2.0,2,0.19,False,,
1,2.0,2,0.19,False,,
2,2.0,2,0.19,False,,
3,2.0,2,0.19,False,,
4,2.0,2,0.19,False,,
0,3.0,2,0.12,True,,
1,3.0,2,0.12,True,,
2,3.0,2,0.12,False,,
3,3.0,2,0.12,True,,
4,3.0,2,0.12,False,,
0,4.0,2,0.38,True,,
1,4.0,2,0.38,False,,
2,4.0,2,0.38,True,,
3,4.0,2,0.38,False,,
4,4.0,2,0.38,True,,
0,0.0,3,0.18,False,,
1,0.0,3,0.18,False,,
2,0.0,3,0.18,False,,
3,0.0,3,0.18,False,,
4,0.0,3,0.18,False,,
0,1.0,3,0.13,True,,
1,1.0,3,0.13,False,,
2,1.0,3,0.13,False,,
3,1.0,3,0.13,True,,
4,1.0,3,0.13,False,,
0,2.0,3,0.19,True,,
1,2.0,3,0.19,False,,
2,2.0,3,0.19,False,,
3,2.0,3,0.19,False,,
4,2.0,3,0.19,True,,
0,3.0,3,0.12,False,,
1,3.0,3,0.12,False,,
2,3.0,3,0.12,False,,
3,3.0,3,0.12,False,,
4,3.0,3,0.12,False,,
0,4.0,3,0.38,False,,
1,4.0,3,0.38,False,,
2,4.0,3,0.38,False,,
3,4.0,3,0.38,False,,
