S,22,T,prob,Connected,26,30,25,32,21,24,20,29,16,19,11,17,10,14,9,15,8,12,2,5,1,3
0,0.0,0,0.54,False,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.54,False,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.46,True,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.46,True,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.54,False,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.54,False,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.46,True,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.46,True,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.5544,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.5544,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.2156,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.2156,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1656,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1656,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.06440000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.06440000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.5544,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.5544,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.2156,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.2156,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1656,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1656,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.06440000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.06440000000000001,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.426,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.426,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.174,True,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.174,True,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.284,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.284,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.11599999999999999,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.11599999999999999,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.426,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.426,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.174,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.174,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.284,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.284,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,
