1,,0,0.07560000000000001,False,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.5256,False,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.5256,True,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.20440000000000003,False,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.20440000000000003,False,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.19440000000000002,False,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.19440000000000002,True,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.07560000000000001,False,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.07560000000000001,False,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.4032,False,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.4032,True,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.31679999999999997,False,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.31679999999999997,False,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.15680000000000002,False,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.15680000000000002,True,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.12320000000000002,False,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.12320000000000002,False,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.4032,False,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.4032,True,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.31679999999999997,False,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.31679999999999997,False,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.15680000000000002,False,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.15680000000000002,False,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.12320000000000002,False,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.12320000000000002,False,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.3796,True,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.3796,False,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.3504,False,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.3504,False,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.14040000000000002,False,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.14040000000000002,False,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.1296,False,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.1296,False,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.3796,False,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.3796,False,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.3504,False,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.3504,False,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.14040000000000002,False,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.14040000000000002,False,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.1296,False,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.1296,False,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.4636,False,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.4636,False,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.2964,False,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.2964,False,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.1464,False,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.1464,False,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.0936,False,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.0936,False,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.4636,False,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.4636,False,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.2964,False,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.2964,False,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.1464,False,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.1464,True,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.0936,True,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.0936,True,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.265,False,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.265,True,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.265,False,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.265,False,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.235,False,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.235,True,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.235,True,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.235,True,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.265,False,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.265,True,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.265,False,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.265,False,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.235,False,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.235,False,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.235,False,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.235,False,,,,,,,,,,,,,,,1.0,1.0
