S,6,T,prob,Connected,3,1
0,0.0,0,0.72,True,,
1,0.0,0,0.72,True,,
0,1.0,0,0.28,True,,
1,1.0,0,0.28,False,,
0,0.0,1,0.72,True,,
1,0.0,1,0.72,True,,
0,1.0,1,0.28,True,,
1,1.0,1,0.28,False,,
0,,0,0.55,False,0.0,
1,,0,0.55,False,0.0,
0,,0,0.45,True,1.0,
1,,0,0.45,True,1.0,
0,,1,0.55,True,0.0,
1,,1,0.55,True,0.0,
0,,1,0.45,True,1.0,
1,,1,0.45,True,1.0,
0,,0,0.56,False,,0.0
1,,0,0.56,False,,0.0
0,,0,0.44,True,,1.0
1,,0,0.44,False,,1.0
0,,1,0.56,False,,0.0
1,,1,0.56,False,,0.0
0,,1,0.44,True,,1.0
1,,1,0.44,False,,1.0
