S,9,T,prob,Connected,3,1,7,8
0,0.0,0,0.62,False,,,,
1,0.0,0,0.62,False,,,,
0,1.0,0,0.38,True,,,,
1,1.0,0,0.38,True,,,,
0,0.0,1,0.62,False,,,,
1,0.0,1,0.62,True,,,,
0,1.0,1,0.38,True,,,,
1,1.0,1,0.38,True,,,,
0,,0,0.53,False,0.0,,,
1,,0,0.53,False,0.0,,,
0,,0,0.47,True,1.0,,,
1,,0,0.47,False,1.0,,,
0,,1,0.53,False,0.0,,,
1,,1,0.53,False,0.0,,,
0,,1,0.47,True,1.0,,,
1,,1,0.47,False,1.0,,,
0,,0,0.56,False,,0.0,,
1,,0,0.56,False,,0.0,,
0,,0,0.44,False,,1.0,,
1,,0,0.44,False,,1.0,,
0,,1,0.56,True,,0.0,,
1,,1,0.56,False,,0.0,,
0,,1,0.44,False,,1.0,,
1,,1,0.44,False,,1.0,,
0,,0,0.3726,True,,,0.0,0.0
1,,0,0.3726,True,,,0.0,0.0
0,,0,0.16740000000000002,False,,,1.0,0.0
1,,0,0.16740000000000002,False,,,1.0,0.0
0,,0,0.3174,True,,,0.0,1.0
1,,0,0.3174,True,,,0.0,1.0
0,,0,0.1426,False,,,1.0,1.0
1,,0,0.1426,True,,,1.0,1.0
0,,1,0.3726,True,,,0.0,0.0
1,,1,0.3726,True,,,0.0,0.0
0,,1,0.16740000000000002,False,,,1.0,0.0
1,,1,0.16740000000000002,False,,,1.0,0.0
0,,1,0.3174,True,,,0.0,1.0
1,,1,0.3174,True,,,0.0,1.0
0,,1,0.1426,False,,,1.0,1.0
1,,1,0.1426,True,,,1.0,1.0
