S,4,T,prob,Connected,2,5,1,3
0,0.0,0,0.75,True,,,,
1,0.0,0,0.75,True,,,,
0,1.0,0,0.25,True,,,,
1,1.0,0,0.25,True,,,,
0,0.0,1,0.75,True,,,,
1,0.0,1,0.75,True,,,,
0,1.0,1,0.25,True,,,,
1,1.0,1,0.25,True,,,,
0,,0,0.4736,False,0.0,0.0,,
1,,0,0.4736,False,0.0,0.0,,
0,,0,0.26639999999999997,False,1.0,0.0,,
1,,0,0.26639999999999997,False,1.0,0.0,,
0,,0,0.16640000000000002,True,0.0,1.0,,
1,,0,0.16640000000000002,True,0.0,1.0,,
0,,0,0.0936,True,1.0,1.0,,
1,,0,0.0936,True,1.0,1.0,,
0,,1,0.4736,False,0.0,0.0,,
1,,1,0.4736,False,0.0,0.0,,
0,,1,0.26639999999999997,False,1.0,0.0,,
1,,1,0.26639999999999997,False,1.0,0.0,,
0,,1,0.16640000000000002,True,0.0,1.0,,
1,,1,0.16640000000000002,True,0.0,1.0,,
0,,1,0.0936,True,1.0,1.0,,
1,,1,0.0936,True,1.0,1.0,,
0,,0,0.34219999999999995,True,,,0.0,0.0
1,,0,0.34219999999999995,True,,,0.0,0.0
0,,0,0.23779999999999996,True,,,1.0,0.0
1,,0,0.23779999999999996,True,,,1.0,0.0
0,,0,0.24779999999999996,False,,,0.0,1.0
1,,0,0.24779999999999996,False,,,0.0,1.0
0,,0,0.1722,False,,,1.0,1.0
1,,0,0.1722,False,,,1.0,1.0
0,,1,0.34219999999999995,True,,,0.0,0.0
1,,1,0.34219999999999995,True,,,0.0,0.0
0,,1,0.23779999999999996,True,,,1.0,0.0
1,,1,0.23779999999999996,True,,,1.0,0.0
0,,1,0.24779999999999996,False,,,0.0,1.0
1,,1,0.24779999999999996,False,,,0.0,1.0
0,,1,0.1722,False,,,1.0,1.0
1,,1,0.1722,False,,,1.0,1.0
