S,63,T,prob,Connected,60,58,48,44,33,32,29,20,19,18,13,6,1,55,56,37,47,35,46,34,45,26,43,24,38,17,36,12,31,10,25,9,23,8,22
0,0.0,0,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.56,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.04,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.04,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.56,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.04,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.04,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.56,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,2,0.04,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2,0.04,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.13,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.44,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.44,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.43,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.43,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.13,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.46,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.46,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.46,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.46,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.54,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.46,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.46,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.79,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.79,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.79,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.79,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.21,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.21,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.79,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.79,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.56,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.29,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.29,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.15,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.15,True,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.56,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.29,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.29,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.15,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.15,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.56,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.29,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.29,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.15,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.15,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.44,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.44,True,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.23,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.33,False,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.33,True,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.62,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.62,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.62,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.62,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.62,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.62,False,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.35,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.23,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.23,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.77,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.77,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
