S,36,T,prob,Connected,47,52,43,48,41,49,40,46,38,45,33,39,31,37,30,34,27,28,18,24,17,23,9,20
0,0.0,0,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.51,True,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.51,False,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.51,False,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.51,False,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.23,False,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.23,True,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.23,True,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.144,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.144,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.144,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.016800000000000002,False,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.016800000000000002,False,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.016800000000000002,False,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.294,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.294,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.294,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.162,False,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.162,False,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.162,True,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.018900000000000004,True,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.018900000000000004,False,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.018900000000000004,False,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.144,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.144,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.144,True,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.0792,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.016800000000000002,True,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.016800000000000002,False,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.016800000000000002,False,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.294,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.294,False,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.294,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.1617,False,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.034300000000000004,False,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.162,False,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.162,False,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.162,True,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.08910000000000001,False,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.018900000000000004,True,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.018900000000000004,False,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.018900000000000004,False,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.1764,True,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1764,True,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1764,True,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.1548,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.1548,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.1548,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.0288,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.0288,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.0288,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.0512,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.0512,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.0512,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1764,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1764,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1764,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.3136,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.1548,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.1548,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.1548,True,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.2752,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.0288,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.0288,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.0288,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.0512,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.0512,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2,,1,0.0512,True,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.0735,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.0735,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.0735,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.27649999999999997,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.27649999999999997,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.27649999999999997,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.0672,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.0672,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2,,0,0.0672,False,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.2528,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.2528,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2,,0,0.2528,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.0693,False,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
