S,1,T,prob,Connected
0,0,0,0.08,True
1,0,0,0.08,False
2,0,0,0.08,False
3,0,0,0.08,False
4,0,0,0.08,False
5,0,0,0.08,False
0,1,0,0.01,False
1,1,0,0.01,False
2,1,0,0.01,False
3,1,0,0.01,False
4,1,0,0.01,False
5,1,0,0.01,False
0,2,0,0.0,True
1,2,0,0.0,True
2,2,0,0.0,False
3,2,0,0.0,False
4,2,0,0.0,False
5,2,0,0.0,False
0,3,0,0.05,False
1,3,0,0.05,False
2,3,0,0.05,False
3,3,0,0.05,False
4,3,0,0.05,False
5,3,0,0.05,False
0,0,1,0.08,False
1,0,1,0.08,False
2,0,1,0.08,False
3,0,1,0.08,False
4,0,1,0.08,False
5,0,1,0.08,False
0,1,1,0.01,True
1,1,1,0.01,False
2,1,1,0.01,False
3,1,1,0.01,False
4,1,1,0.01,False
5,1,1,0.01,False
0,2,1,0.0,True
1,2,1,0.0,True
2,2,1,0.0,False
3,2,1,0.0,False
4,2,1,0.0,False
5,2,1,0.0,False
0,3,1,0.05,True
1,3,1,0.05,True
2,3,1,0.05,True
3,3,1,0.05,False
4,3,1,0.05,False
5,3,1,0.05,False
0,0,2,0.08,True
1,0,2,0.08,False
2,0,2,0.08,False
3,0,2,0.08,False
4,0,2,0.08,False
5,0,2,0.08,False
0,1,2,0.01,False
1,1,2,0.01,False
2,1,2,0.01,False
3,1,2,0.01,False
4,1,2,0.01,False
5,1,2,0.01,False
0,2,2,0.0,False
1,2,2,0.0,False
2,2,2,0.0,False
3,2,2,0.0,False
4,2,2,0.0,False
5,2,2,0.0,False
0,3,2,0.05,False
1,3,2,0.05,False
2,3,2,0.05,False
3,3,2,0.05,False
4,3,2,0.05,False
5,3,2,0.05,False
0,0,3,0.08,False
1,0,3,0.08,False
2,0,3,0.08,False
3,0,3,0.08,False
4,0,3,0.08,False
5,0,3,0.08,False
0,1,3,0.01,True
1,1,3,0.01,False
2,1,3,0.01,False
3,1,3,0.01,False
4,1,3,0.01,False
5,1,3,0.01,False
0,2,3,0.0,True
1,2,3,0.0,True
2,2,3,0.0,False
3,2,3,0.0,False
4,2,3,0.0,False
5,2,3,0.0,False
0,3,3,0.05,True
1,3,3,0.05,True
2,3,3,0.05,True
3,3,3,0.05,False
4,3,3,0.05,False
5,3,3,0.05,False
0,0,4,0.08,True
1,0,4,0.08,False
2,0,4,0.08,False
3,0,4,0.08,False
4,0,4,0.08,False
5,0,4,0.08,False
0,1,4,0.01,True
1,1,4,0.01,False
2,1,4,0.01,False
3,1,4,0.01,False
4,1,4,0.01,False
5,1,4,0.01,False
0,2,4,0.0,True
1,2,4,0.0,True
2,2,4,0.0,False
3,2,4,0.0,False
4,2,4,0.0,False
5,2,4,0.0,False
0,3,4,0.05,False
1,3,4,0.05,False
2,3,4,0.05,False
3,3,4,0.05,False
4,3,4,0.05,False
5,3,4,0.05,False
